term,est,se,t,p,n,spec
LAelder_only_multi,-0.369048652462018,0.146253599736627,-2.52334748085928,0.0120704064907037,1234,hdds12 ~ LA (common sample)
LAthreegen,0.519263772262969,0.123392001387531,4.20824499500697,3.28134764508995e-05,1234,hdds12 ~ LA (common sample)
LAelder_alone,-0.283496681160853,0.241987825980021,-1.17153282406966,0.242188458450805,1234,hdds12 ~ LA (common sample)
LAelder_child,0.085201109880052,0.27589909833412,0.308812570952557,0.757649428102633,1234,hdds12 ~ LA (common sample)
LAother,0.391778749493306,0.23069262144824,1.69827169605079,0.0903529310725938,1234,hdds12 ~ LA (common sample)
LAelder_only_multi,-0.241663204477194,0.173521677942019,-1.39269748508279,0.164602975321633,1234,hdds12 ~ LA + roles
LAthreegen,0.522352119343555,0.123265413539619,4.23762111645101,2.89871647295595e-05,1234,hdds12 ~ LA + roles
LAelder_alone,-0.115383226145833,0.268094928537441,-0.430381979902761,0.667184980203831,1234,hdds12 ~ LA + roles
LAelder_child,0.224319070090093,0.290487917345674,0.772214803768096,0.440512824129716,1234,hdds12 ~ LA + roles
LAother,0.424776419502395,0.239569403407888,1.77308292903821,0.0770921135173452,1234,hdds12 ~ LA + roles
nonelder_cook,0.0727260624511715,0.23001217089721,0.316183540060026,0.752053305359108,1234,hdds12 ~ LA + roles
nonelder_buyer,0.134615829920117,0.212643549554359,0.633058610064749,0.527112347774891,1234,hdds12 ~ LA + roles
elder_is_cook,-0.0227725325410668,0.17418949254848,-0.130734249281591,0.896061296058797,1234,hdds12 ~ LA + roles
LAelder_only_multi,-0.535610442075243,0.0365087855246282,-14.6707274530929,2.98561394481008e-38,1234,nonelder_cook ~ LA
LAthreegen,-0.0230655353554424,0.0348274415454262,-0.662280498708396,0.508231079656838,1234,nonelder_cook ~ LA
LAelder_alone,-0.729627285914334,0.0294004259909754,-24.8168950388099,6.68852050701782e-79,1234,nonelder_cook ~ LA
LAelder_child,-0.605807159467146,0.0367556506257629,-16.4820143067341,1.73471208289552e-45,1234,nonelder_cook ~ LA
LAother,-0.0711526672827823,0.0801616059731458,-0.887615291872003,0.375362534696034,1234,nonelder_cook ~ LA
LAelder_only_multi,-0.597891380847984,0.0339465199637205,-17.6127444429345,4.66378998216332e-50,1234,nonelder_buyer ~ LA
LAthreegen,-0.00386779411304791,0.0328674645052862,-0.117678505819207,0.90639048386408,1234,nonelder_buyer ~ LA
LAelder_alone,-0.749525085862514,0.0298063388510677,-25.1464995284271,3.51139991326463e-80,1234,nonelder_buyer ~ LA
LAelder_child,-0.633997247058485,0.0382440949552091,-16.5776506883223,7.14062395847784e-46,1234,nonelder_buyer ~ LA
LAother,-0.194602377708355,0.074284065315333,-2.61970554360852,0.00918701996890365,1234,nonelder_buyer ~ LA
LAelder_only_multi,0.348971510994347,0.0346776160382188,10.0633074260278,4.5220040959474e-21,1234,elder_is_cook ~ LA
LAthreegen,0.0390916205636369,0.0343574612197596,1.13779130284384,0.255992634525048,1234,elder_is_cook ~ LA
LAelder_alone,0.621476506782225,0.0300560145188082,20.6772759706155,1.80550037621588e-62,1234,elder_is_cook ~ LA
LAelder_child,0.426563242357955,0.0406032864296653,10.5056334072087,1.34073088289609e-22,1234,elder_is_cook ~ LA
LAother,0.0714218369055985,0.0776412575455058,0.919895415961519,0.358266447407876,1234,elder_is_cook ~ LA
