term,est,se,t,p,n,spec
hdds,0.43577686832622,0.0204656848153786,21.2930508926221,1.18741665265815e-64,1679,pooled phi1
LAelder_only_multi,0.260126895454704,0.074983738756314,3.46911076680342,0.00058894666006257,1679,pooled phi1
LAthreegen,-0.0131664708358135,0.103751697524428,-0.126903666638451,0.899091222142907,1679,pooled phi1
LAelder_alone,1.14547038853529,0.130170873141961,8.79974421993825,6.8989259100388e-17,1679,pooled phi1
LAelder_child,0.116699125645036,0.134247478527737,0.869283556941631,0.385301703706771,1679,pooled phi1
LAother,0.151380802599705,0.219224002198955,0.690530238848211,0.490329167611695,1679,pooled phi1
hdds,0.425456763952697,0.0470794647313558,9.03699237832106,1.21387160744976e-17,1679,phi1 x living arrangement
LAelder_only_multi,0.0648072854704201,0.216944182670705,0.29872792472518,0.765329076532646,1679,phi1 x living arrangement
LAthreegen,0.523246389533712,0.307772622661444,1.70010699785112,0.0900199531096363,1679,phi1 x living arrangement
LAelder_alone,0.0936331035580444,0.276181054919519,0.339027974186461,0.734796725625052,1679,phi1 x living arrangement
LAelder_child,0.191870049609108,0.369447151032013,0.519343697936602,0.603857014516373,1679,phi1 x living arrangement
LAother,0.249586337635917,0.694569064940909,0.359339841398135,0.719562634061969,1679,phi1 x living arrangement
hdds:LAelder_only_multi,0.0473368884706885,0.0536744924655469,0.881925218036735,0.37843666402686,1679,phi1 x living arrangement
hdds:LAthreegen,-0.105761277896668,0.0678231663101106,-1.559368039721,0.119834151114967,1679,phi1 x living arrangement
hdds:LAelder_alone,0.270319201758176,0.0669508255585967,4.03757831965175,6.66993073521975e-05,1679,phi1 x living arrangement
hdds:LAelder_child,-0.0161651427940404,0.0899231890434644,-0.179766120018575,0.857442644445138,1679,phi1 x living arrangement
hdds:LAother,-0.0195704234101404,0.164347177171667,-0.119079766059495,0.905282075464176,1679,phi1 x living arrangement
