term,est,se,t,p,n,estimator
treat,0.532008636208213,0.13289133136095,4.00333588925532,7.96476420751282e-05,639,OLS_countyFE
treat,0.581192111100131,0.133443742403805,4.35533432014687,1.84912929719072e-05,641,IPW_adj_contrast
treat,0.585899601735505,0.133438744081783,4.39077575083001,1.58797520237966e-05,641,EntropyBal_adj_contrast
treat,0.566929133858267,0.137715575367216,4.11666677749819,5.20681027530871e-05,508,NN_match_adj_contrast
treat,0.591698161294458,0.127860218866412,4.62769551421354,3.69757104918597e-06,641,AIPW_adj_contrast
