term,est,se,t,p,n,spec
elder,-0.241987498720511,0.0858741352892943,-2.81793229015116,0.00518025433938224,1594,main
elder:threegen,0.17786288666605,0.134531684678489,1.32208919475821,0.187225223463664,1594,main
elder,-0.0992884905186853,0.159960237280422,-0.620707322061701,0.535300749643473,1594,add_age
elder:threegen,0.194485068925073,0.135173440883201,1.43878166934525,0.151337284297947,1594,add_age
elder,-0.302195255536688,0.0968461384702332,-3.12036453192784,0.00205767723859537,1246,drop_low_home_days
elder:threegen,0.197159475515995,0.154385016936798,1.27706353523094,0.202976737575919,1246,drop_low_home_days
elder,0.0235380890890153,0.108457068310678,0.217026787240733,0.828374969866008,1045,drop_few_meals
elder:threegen,-0.000405193689914782,0.166117440707435,-0.00243920017181343,0.998055862333165,1045,drop_few_meals
elder,0.0241818371648133,0.0324877201330471,0.74433777026462,0.457300863356357,1594,binary_any_animal
elder:threegen,-0.0223893550394707,0.0500929535075956,-0.446956177899869,0.655254707116422,1594,binary_any_animal
elder,-0.273153610947119,0.171529860520363,-1.59245515689492,0.113027355819011,542,women_only_wdds9
elder:threegen,0.279183418074453,0.246831077377898,1.13107077536685,0.259521731441437,542,women_only_wdds9
