group,mean_cate,q25,q75,N
all,0.518115185586449,0.428890083777862,0.598200684103634,641
high income,0.48021542544361,0.404259550121539,0.53349400639955,320
low income,0.55589687794068,0.464374959079963,0.642266705725634,321
oldest elder 60-74,0.529396426360053,0.43406997126433,0.616555430116016,447
oldest elder 75+,0.492121811226649,0.419460730695416,0.547667102828438,194
poor market access,0.461332155407016,0.403885832501528,0.501745605621198,321
good market access,0.575075662735192,0.477639549139884,0.657886746323906,320
