term,est,se,t,p,n,spec
treat,0.54688164460256,0.129165857562377,4.23394893142299,3.04825813538105e-05,716,"A-line, roster classification (headline)"
treat,0.542611132323329,0.128650572175251,4.21771254607534,3.268849266845e-05,707,"A-line, resident-based (>=180 days at home)"
treat,0.870869210062717,0.138228542920258,6.30021261647176,1.20265170141806e-09,549,"A-line, 48h-observed members"
elder,-0.293527776886402,0.0865921128374654,-3.38977497220051,0.000800838983032013,1594,"B-line elder gap, roster threegen (headline)"
elder:threegen,0.214617759115337,0.135377534071207,1.5853277324615,0.114028706272699,1594,"B-line elder gap, roster threegen (headline)"
elder,-0.300192778156529,0.0869937054124113,-3.45074136954397,0.000646239702714894,1592,"B-line elder gap, resident-based threegen"
elder:threegen,0.234129216265007,0.13366347289856,1.75163199928745,0.0809438006782369,1592,"B-line elder gap, resident-based threegen"
elder,-0.29791376927038,0.0882678530979506,-3.37511062991173,0.000844152849543904,1574,"B-line elder gap, members >=180 days at home only"
elder:threegen,0.23152671917993,0.135762001182001,1.70538675891753,0.0892515174142934,1574,"B-line elder gap, members >=180 days at home only"
