variable,importance
retail_thickness_index,0.278185983902914
ln_income,0.172049324296159
food_self_suff_rate,0.161724292234123
market_access_index,0.146874330762988
HB8,0.103920355322214
max_elder_age,0.0967010051427027
HB2,0.0238680742185045
n_elderly,0.0151660203156084
any_elder_80,0.00151061380478556
HB5,0
