term,est,se,t,p,n,spec
LAelder_only_multi,-0.369048652462018,0.146253599736627,-2.52334748085928,0.0120704064907037,1234,no size dummies
LAthreegen,0.519263772262969,0.123392001387531,4.20824499500697,3.28134764508995e-05,1234,no size dummies
LAelder_alone,-0.283496681160853,0.241987825980021,-1.17153282406966,0.242188458450805,1234,no size dummies
LAelder_child,0.085201109880052,0.27589909833412,0.308812570952557,0.757649428102633,1234,no size dummies
LAother,0.391778749493306,0.23069262144824,1.69827169605079,0.0903529310725938,1234,no size dummies
LAelder_only_multi,-0.0568948649738224,0.218436075052672,-0.260464600273115,0.794659911266218,1234,with size dummies (2/3/4/5/6+)
LAthreegen,0.235747188205093,0.174082118779087,1.35422977304326,0.176544297714591,1234,with size dummies (2/3/4/5/6+)
LAelder_alone,-0.702518370836969,0.374200177786468,-1.87738652341809,0.0613038235431363,1234,with size dummies (2/3/4/5/6+)
LAelder_child,0.104015147302263,0.271990458252261,0.382422045135837,0.702382460778984,1234,with size dummies (2/3/4/5/6+)
LAother,0.281386667101275,0.240303330058051,1.17096449322321,0.2424165300671,1234,with size dummies (2/3/4/5/6+)
factor(hh_size_grp)2,-0.576346474622218,0.308810768416277,-1.86634189467546,0.0628368898137022,1234,with size dummies (2/3/4/5/6+)
factor(hh_size_grp)3,-0.243262335202974,0.253659611430346,-0.959010911635699,0.338220966216571,1234,with size dummies (2/3/4/5/6+)
factor(hh_size_grp)4,-0.228395095440014,0.204392102483797,-1.1174360098288,0.264581020643795,1234,with size dummies (2/3/4/5/6+)
factor(hh_size_grp)5,0.17325124688808,0.230965919041435,0.750116067370959,0.45369309599037,1234,with size dummies (2/3/4/5/6+)
