Category,kcal,protein,fat,cho,fe_mg,ca_mg,zn_mg,va_ug,n_rep_foods
蔬菜,211.295411089866,12.166,1.654,36.174,9.026,336.44,3.3276,,5
水果,400.014340344168,4.468,1.276,91.216,3.132,67.66,1.5748,,5
猪肉,3905.35372848948,132,370,24,16,60,20.6,180,1
牛肉,1249.33078393881,197.01,41.58,19.8,32.67,227.7,46.827,69.3,1
羊肉,1817.63862332696,171,126.9,,20.7,54,28.98,198,1
禽类,1359.8948374761,116.39,98,4.97,12.1,50.1,8.119,335.2,2
其他肉类,1366.4913957935,188.336666666667,63.4933333333333,14.4,24.4566666666667,133.9,29.6023333333333,175.766666666667,3
海鲜类,657.140296367113,102.88,23.15,11.3033333333333,8.615,361.95,7.2355,139.733333333333,4
新鲜牛奶,652.485659655832,31.3333333333333,35.3333333333333,52.3333333333333,1.33333333333333,976.666666666667,4.03333333333333,193.333333333333,3
常温牛奶,652.485659655832,31.3333333333333,35.3333333333333,52.3333333333333,1.33333333333333,976.666666666667,4.03333333333333,193.333333333333,3
新鲜酸奶,935.707456978967,31.5,30.5,132.5,8.5,1105,5.1,,2
常温酸奶,935.707456978967,31.5,30.5,132.5,8.5,1105,5.1,,2
成人奶粉,5103.96749521989,230,270,438.5,39,8400,39.7,,2
奶酪,3264.81835564054,257,235,35,24,7990,69.7,1520,1
黄油,8723.70936902486,14,980,0,8,350,1.1,,1
坚果,4319.0965583174,156.035,347.92,149.565,16.305,315.4,17.1655,,2
食用油,8832.05863607393,0,998.333333333333,1.5,17.6666666666667,86.6666666666667,9.53333333333333,,3
方便面,4753.8240917782,95,211,616,41,250,10.6,,1
大米,3460,79,9,772,11,80,14.5,0,0
面粉,3490,112,15,736,35,270,16.4,0,0
挂面,3530,114,9,751,30,200,12,0,0
