province,city,start,end,clean_single_shock
湖北省,武汉,2020-01-23,2020-04-08,1
新疆维吾尔自治区,乌鲁木齐,2020-07-16,2020-08-31,1
河北省,石家庄,2021-01-06,2021-02-08,1
陕西省,西安,2021-12-23,2022-01-24,1
吉林省,长春,2022-03-11,2022-04-28,1
上海市,上海,2022-04-01,2022-06-01,1
广东省,深圳,2022-03-14,2022-03-20,0
广东省,广州,2022-11-05,2022-11-30,0
