,y2024,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,BS,C1,C2,C3,C4,C5,C6
Rice,0.9962,0.9848,0.9967,0.9773,0.9494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9509,1.0,1.0,1.0,1.0,1.0,1.0
Wheat,0.9268,1.0,1.0,1.0,0.9769,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9843,1.0,1.0,1.0,1.0,1.0,1.0
Maize,0.9558,0.905,0.9061,0.9044,0.9001,0.91,0.9085,0.905,0.9061,0.9044,0.9001,0.91,0.9076,0.905,0.905,0.9061,0.9044,0.9001,0.91,0.9076
Soybean,0.1644,0.2668,0.2672,0.2668,0.2643,0.2694,0.2687,0.2668,0.2672,0.2668,0.2643,0.2694,0.2682,0.2668,0.2668,0.2672,0.2668,0.2643,0.2694,0.2682
Sugar,0.6841,0.9113,0.911,0.9153,0.8845,0.9399,0.935,0.9113,0.911,0.9153,0.8845,0.9399,0.9288,0.9113,0.9113,0.911,0.9153,0.8845,0.9399,0.9288
Pork,0.9821,0.8031,0.811,0.8006,0.762,0.8487,0.8284,1.0,1.0,1.0,1.0,1.0,1.0,0.8697,1.0,1.0,1.0,1.0,1.0,1.0
Beef,0.7305,0.718,0.719,0.7227,0.6768,0.7642,0.7631,1.0,1.0,1.0,1.0,1.0,1.0,0.7609,1.0,1.0,1.0,1.0,1.0,1.0
Mutton,0.9341,0.7886,0.7895,0.7942,0.7428,0.8403,0.8155,1.0,1.0,1.0,1.0,1.0,1.0,0.8365,1.0,1.0,1.0,1.0,1.0,1.0
Poultry,0.9922,0.877,0.8767,0.8846,0.8259,0.9346,0.9256,0.6914,0.6912,0.6975,0.6503,0.7378,0.7202,0.9414,0.779,0.7787,0.7858,0.7331,0.8307,0.8111
Eggs,1.0,0.8567,0.8568,0.8626,0.8141,0.9038,0.8968,1.0,1.0,1.0,1.0,1.0,1.0,0.9078,1.0,1.0,1.0,0.9683,1.0,1.0
Dairy,0.724,0.6309,0.6414,0.6251,0.5945,0.6718,0.666,0.3712,0.3777,0.3677,0.3489,0.3964,0.3871,0.7503,0.4846,0.4929,0.4801,0.456,0.5169,0.505
Aquatic,0.9648,0.839,0.8338,0.848,0.8154,0.8642,0.8582,0.6174,0.6118,0.6266,0.594,0.6426,0.6317,0.8636,0.7289,0.7234,0.7382,0.7049,0.7547,0.7436
Fruits,0.9968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Vegetables,1.0,0.9834,0.9836,0.9854,0.9667,1.0,0.9996,0.9686,0.9688,0.9706,0.9514,0.9864,0.981,0.9863,0.9761,0.9763,0.9781,0.9591,0.9936,0.9883
