scenario,group,commodity,year,production,net_import,ssr,import_dependence
A1,PTS,CATM,2022,718.26,268.9861,0.727538959130859,0.272461040869141
A1,PTS,CATM,2023,753.0,273.73,0.7333963164609976,0.26660368353900243
A1,PTS,CATM,2024,779.0,287.41,0.7304882737408689,0.2695117262591311
A1,PTS,CATM,2025,747.1185552631017,328.80263731702564,0.6943989582280315,0.30560104177196845
A1,PTS,CATM,2026,752.2536504219111,337.251189513125,0.690454620161913,0.30954537983808705
A1,PTS,CATM,2027,757.0939979397587,346.7832016653603,0.6858498374733963,0.31415016252660366
A1,PTS,CATM,2028,761.9977731798799,356.00660613460303,0.6815695781505859,0.31843042184941406
A1,PTS,CATM,2029,770.966601728234,361.66216614334735,0.6806878154587427,0.3193121845412573
A1,PTS,CATM,2030,780.0791455620765,366.9662388649214,0.6800769665724796,0.3199230334275204
A1,PTS,CATM,2031,789.3421033355718,371.33354040671503,0.6800712219570234,0.3199287780429766
A1,PTS,CATM,2032,798.7609884701186,376.1425580807662,0.6798523936837265,0.3201476063162735
A1,PTS,CATM,2033,808.3442778144887,380.83049844102334,0.6797522903738449,0.3202477096261551
A1,PTS,CATM,2034,818.0994087908406,385.3963072893392,0.6797692736750355,0.3202307263249645
A1,PTS,CATM,2035,828.0352474906394,389.9239852629038,0.6798546496655969,0.32014535033440306
A1,PTS,CATM,2036,837.4011752016661,393.902064496952,0.68009337440437,0.31990662559563
A1,PTS,CATM,2037,846.8726009035622,397.8494000111788,0.6803708782211604,0.3196291217788396
A1,PTS,CATM,2038,856.4507083465676,401.1951343189881,0.6809951413120702,0.3190048586879298
A1,PTS,CATM,2039,866.1366945188952,403.954034040329,0.6819486789746353,0.3180513210253647
A1,PTS,CATM,2040,875.9317697943322,406.0241260707151,0.6832776171314886,0.3167223828685114
A1,PTS,CATM,2041,885.8371580814646,407.0470306144382,0.6851635790944156,0.3148364209055844
A1,PTS,CATM,2042,895.8540969746017,407.85129667188863,0.6871599222803548,0.31284007771964517
A1,PTS,CATM,2043,905.9838379061962,407.9513300949967,0.689519437465406,0.310480562534594
A1,PTS,CATM,2044,916.227646301357,407.3393510604239,0.6922412300455065,0.30775876995449347
A1,PTS,CATM,2045,926.5868017336106,405.9495704814136,0.695355729910307,0.30464427008969297
A1,PTS,CATM,2046,937.0625980826736,403.5948262491857,0.6989575271622246,0.3010424728377754
A1,PTS,CATM,2047,947.656343693932,400.437924397388,0.7029599977720087,0.2970400022279913
