scenario,group,commodity,year,net_import,production,import_dependence
BS,BS,SOYS,2024,10497.0,2065.0,0.8356153478745423
BS,BS,SOYS,2030,8690.906321723905,2930.6298693158333,0.7478276691531225
BS,BS,SOYS,2035,8087.669113894084,3080.519483744425,0.7241701770333826
BS,BS,SOYS,2040,8229.267959523851,3111.9593510399864,0.7256064739888126
BS,BS,SOYS,2045,8362.192798697211,3101.0947769224667,0.7294759678263738
BS,BS,SOYS,2050,8476.45041371539,3084.6337339520524,0.7331881945886185
BS,BS,MILK,2024,1555.35869,4079.0,0.27604893042405865
BS,BS,MILK,2030,1434.255752095961,4568.190513046255,0.23894520479509518
BS,BS,MILK,2035,1472.5493748508875,4802.977832023853,0.23464950852857946
BS,BS,MILK,2040,1551.8365343817889,4947.133398815456,0.23878192241741059
BS,BS,MILK,2045,1644.996988019265,5008.9412931600245,0.24722155789634392
BS,BS,MILK,2050,1677.8959970142791,5043.004423607789,0.24965345296084274
A1,PTS,SOYS,2024,10497.0,2065.0,0.8356153478745423
A1,PTS,SOYS,2030,8690.906321724038,2930.6298693158333,0.7478276691531254
A1,PTS,SOYS,2035,8087.669113896454,3080.519483744504,0.724170177033436
A1,PTS,SOYS,2040,8229.267959523544,3111.959351040321,0.7256064739887839
A1,PTS,SOYS,2045,8362.192798697268,3101.0947769224667,0.7294759678263751
A1,PTS,SOYS,2050,8476.450413714623,3084.633733952901,0.733188194588547
A1,PTS,MILK,2024,1555.35869,4079.0,0.27604893042405865
A1,PTS,MILK,2030,1676.8350604221014,4568.1905130462665,0.2685073168548803
A1,PTS,MILK,2035,1946.0118945448128,4802.977832024042,0.2883412145204366
A1,PTS,MILK,2040,2279.2372125230195,4947.133398815456,0.31540552444774994
A1,PTS,MILK,2045,2642.8220675924417,5008.941293160053,0.3453873235479331
A1,PTS,MILK,2050,2950.500763069718,5043.004423607831,0.3691122597865074
B1,HDS,SOYS,2024,10497.0,2065.0,0.8356153478745423
B1,HDS,SOYS,2030,8690.90632172403,2930.6298693158333,0.7478276691531252
B1,HDS,SOYS,2035,8087.669113896239,3080.519483744721,0.7241701770334166
B1,HDS,SOYS,2040,8229.267959523622,3111.9593510404134,0.7256064739887798
B1,HDS,SOYS,2045,8362.192798697131,3101.094776922461,0.7294759678263723
B1,HDS,SOYS,2050,8476.450413714276,3084.633733953222,0.7331881945885186
B1,HDS,MILK,2024,1555.35869,4079.0,0.27604893042405865
B1,HDS,MILK,2030,2460.881210262926,4568.19051304627,0.3501004552425274
B1,HDS,MILK,2035,3596.188899101859,4802.977832024044,0.4281601990081928
B1,HDS,MILK,2040,5015.546690066896,4947.133398815542,0.5034334782729648
B1,HDS,MILK,2045,6697.726537722604,5008.941293159978,0.5721292031583725
B1,HDS,MILK,2050,8542.159123605075,5043.004423607813,0.6287858879223851
C1,MTS,SOYS,2024,10497.0,2065.0,0.8356153478745423
C1,MTS,SOYS,2030,8690.906321724035,2930.6298693158333,0.7478276691531254
C1,MTS,SOYS,2035,8087.669113896552,3080.519483744725,0.7241701770334241
C1,MTS,SOYS,2040,8229.267959516783,3111.9593510478044,0.7256064739881415
C1,MTS,SOYS,2045,8362.192798696005,3101.094776922468,0.7294759678263453
C1,MTS,SOYS,2050,8476.450413725412,3084.6337339532256,0.7331881945887755
C1,MTS,MILK,2024,1555.35869,4079.0,0.27604893042405865
C1,MTS,MILK,2030,2058.0384908347864,4568.190513046265,0.3105897018695509
C1,MTS,MILK,2035,2725.5932940959183,4802.977832024206,0.3620332794146772
C1,MTS,MILK,2040,3534.3517631558457,4947.133398815455,0.4167137825109839
C1,MTS,MILK,2045,4447.329962469583,5008.941293159895,0.4703048212393456
C1,MTS,MILK,2050,5362.923610494722,5043.004423608614,0.5153719680665501
