group,rmse_base,mae_base,rmse_robust,mae_robust,rmse_pct_diff
grain,0.06629,0.04876,0.06432,0.05079,-2.9623
oil,0.03071,0.02528,0.03183,0.02515,3.62343
vegfruit,0.00937,0.00743,0.01006,0.00754,7.40233
meatsea,0.04401,0.03535,0.05124,0.04035,16.42307
dairyegg,0.0087,0.00703,0.01061,0.00874,21.89156
nonfood,3.4229,2.73047,3.7503,3.07768,9.56508
