section,variant,model,metric,value
model_selection,baseline_real_national_nonfood,AIDADS_sat,AIC,-5992.558094691983
model_selection,baseline_real_national_nonfood,AIDADS_sat,BIC,-5948.983553310126
model_selection,baseline_real_national_nonfood,MAIDADS_sat,AIC,-6419.864577266723
model_selection,baseline_real_national_nonfood,MAIDADS_sat,BIC,-6350.8715534121175
model_selection,robust_real_derived_cpi_nonfood,AIDADS_sat,AIC,-6003.831575811197
model_selection,robust_real_derived_cpi_nonfood,AIDADS_sat,BIC,-5960.25703442934
model_selection,robust_real_derived_cpi_nonfood,MAIDADS_sat,AIC,-6427.157609163162
model_selection,robust_real_derived_cpi_nonfood,MAIDADS_sat,BIC,-6358.1645853085565
fit_rmse_MAIDADS,baseline_real_national_nonfood,MAIDADS_sat,rmse_grain,0.0662876663830857
fit_rmse_MAIDADS,robust_real_derived_cpi_nonfood,MAIDADS_sat,rmse_grain,0.0643240238241596
fit_rmse_MAIDADS,baseline_real_national_nonfood,MAIDADS_sat,rmse_oil,0.030713494985733
fit_rmse_MAIDADS,robust_real_derived_cpi_nonfood,MAIDADS_sat,rmse_oil,0.0318263765233604
fit_rmse_MAIDADS,baseline_real_national_nonfood,MAIDADS_sat,rmse_vegfruit,0.0093695612150284
fit_rmse_MAIDADS,robust_real_derived_cpi_nonfood,MAIDADS_sat,rmse_vegfruit,0.0100631269949578
fit_rmse_MAIDADS,baseline_real_national_nonfood,MAIDADS_sat,rmse_meatsea,0.0440097593432783
fit_rmse_MAIDADS,robust_real_derived_cpi_nonfood,MAIDADS_sat,rmse_meatsea,0.05123751184438
fit_rmse_MAIDADS,baseline_real_national_nonfood,MAIDADS_sat,rmse_dairyegg,0.0087040637948339
fit_rmse_MAIDADS,robust_real_derived_cpi_nonfood,MAIDADS_sat,rmse_dairyegg,0.0106095189136851
fit_rmse_MAIDADS,baseline_real_national_nonfood,MAIDADS_sat,rmse_nonfood,3.4228962996083534
fit_rmse_MAIDADS,robust_real_derived_cpi_nonfood,MAIDADS_sat,rmse_nonfood,3.750299028270152
feed_grain_Mt,baseline_real_national_nonfood,MAIDADS_sat,feed_grain_2030,407.722823831914
feed_grain_Mt,robust_real_derived_cpi_nonfood,MAIDADS_sat,feed_grain_2030,306.91269469446723
feed_grain_Mt,baseline_real_national_nonfood,MAIDADS_sat,feed_grain_2035,434.79812947999915
feed_grain_Mt,robust_real_derived_cpi_nonfood,MAIDADS_sat,feed_grain_2035,304.5148573626077
feed_grain_Mt,baseline_real_national_nonfood,MAIDADS_sat,feed_grain_2050,472.8041157586893
feed_grain_Mt,robust_real_derived_cpi_nonfood,MAIDADS_sat,feed_grain_2050,291.7903135416912
