variant,model,group,rmse_x,mae_x,mean_x
robust_real_derived_cpi_nonfood,AIDADS_sat,grain,0.07103218793184612,0.05004861278415181,0.4122865722827164
robust_real_derived_cpi_nonfood,AIDADS_sat,oil,0.03138237631562288,0.02508059212057365,0.1273417792799735
robust_real_derived_cpi_nonfood,AIDADS_sat,vegfruit,0.010862464939768867,0.00799970250043831,0.05164737289379987
robust_real_derived_cpi_nonfood,AIDADS_sat,meatsea,0.052588926904555924,0.04210659882543161,0.1471792515909876
robust_real_derived_cpi_nonfood,AIDADS_sat,dairyegg,0.010767064995136615,0.008897103766631713,0.030014386789327437
robust_real_derived_cpi_nonfood,AIDADS_sat,nonfood,3.7351549574501415,3.08124353403444,190.29407101537942
robust_real_derived_cpi_nonfood,MAIDADS_sat,grain,0.06432402382415965,0.05079132318667303,0.4122865722827164
robust_real_derived_cpi_nonfood,MAIDADS_sat,oil,0.03182637652336042,0.02514879662547919,0.1273417792799735
robust_real_derived_cpi_nonfood,MAIDADS_sat,vegfruit,0.01006312699495781,0.007537588677574779,0.05164737289379987
robust_real_derived_cpi_nonfood,MAIDADS_sat,meatsea,0.051237511844380045,0.04035374300786167,0.1471792515909876
robust_real_derived_cpi_nonfood,MAIDADS_sat,dairyegg,0.010609518913685168,0.008736702526065098,0.030014386789327437
robust_real_derived_cpi_nonfood,MAIDADS_sat,nonfood,3.750299028270152,3.077678489906814,190.29407101537942
