metric,group_or_item,year,ci_2_5,median,ci_97_5,n_success_draws,target_reps
daily_kcal_per_cap_weighted,dairyegg,2030.0,69.74111215222447,78.60705844861195,88.50779243655236,952,1000
daily_kcal_per_cap_weighted,dairyegg,2050.0,79.49651182770963,93.71573097807405,118.0105899051011,952,1000
daily_kcal_per_cap_weighted,grain,2030.0,579.592820243061,708.2552115711492,796.8720918602602,952,1000
daily_kcal_per_cap_weighted,grain,2050.0,338.99938148010636,545.7948767259686,743.2757573143099,952,1000
daily_kcal_per_cap_weighted,meatsea,2030.0,336.50225653236566,417.6009234957186,494.66712634497867,952,1000
daily_kcal_per_cap_weighted,meatsea,2050.0,341.4812639115593,475.713687159461,643.5029829838007,952,1000
daily_kcal_per_cap_weighted,oil,2030.0,193.9089777375087,233.39221343504704,268.80381695371085,952,1000
daily_kcal_per_cap_weighted,oil,2050.0,134.3629648317058,204.21213529178112,285.3293462302497,952,1000
daily_kcal_per_cap_weighted,vegfruit,2030.0,111.50336671058753,120.71332228280508,132.42173400462644,952,1000
daily_kcal_per_cap_weighted,vegfruit,2050.0,122.70021351913363,138.9466812349183,167.53863588587694,952,1000
feed_grain_million_ton,aquatic,2030.0,23.4580463331222,29.28061887900956,34.80739871068273,952,1000
feed_grain_million_ton,aquatic,2050.0,22.176860362408213,31.04828488329901,42.16102754731369,952,1000
feed_grain_million_ton,beef,2030.0,38.09249049994993,46.950729338399,54.91087240049298,952,1000
feed_grain_million_ton,beef,2050.0,36.34715455040659,50.681368351902215,68.19839897491816,952,1000
feed_grain_million_ton,egg,2030.0,49.48345010430451,55.812355354984064,62.900897800992325,952,1000
feed_grain_million_ton,egg,2050.0,53.7558001992357,63.47977017891099,79.98521537273123,952,1000
feed_grain_million_ton,milk,2030.0,11.397185284107948,12.847216726246101,14.469746279396324,952,1000
feed_grain_million_ton,milk,2050.0,12.465734162941983,14.672180950453644,18.46609760283357,952,1000
feed_grain_million_ton,mutton,2030.0,24.77978428738164,30.01676604256071,34.393109454823545,952,1000
feed_grain_million_ton,mutton,2050.0,24.050011528333357,33.26774727231556,44.6994776884232,952,1000
feed_grain_million_ton,pork,2030.0,144.76885914852826,179.81026233505196,213.17128145667036,952,1000
feed_grain_million_ton,pork,2050.0,140.65885255545174,195.78504532938928,264.8811354229445,952,1000
feed_grain_million_ton,poultry,2030.0,44.86515809102731,55.726428789166576,65.9937055135817,952,1000
feed_grain_million_ton,poultry,2050.0,43.689438639470076,60.88504927212077,82.45062565992203,952,1000
income_elasticity_median_income,dairyegg,,0.4799262614938778,0.71660016611486,0.9693747406481887,952,1000
income_elasticity_median_income,grain,,-0.7375894081683627,-0.33522048726674325,-0.07127258365766863,952,1000
income_elasticity_median_income,meatsea,,0.14681378763308414,0.5399112280356496,1.1268775459969775,952,1000
income_elasticity_median_income,nonfood,,1.0720047843125036,1.1155028474017317,1.1606951796870335,952,1000
income_elasticity_median_income,oil,,-0.5949617599638343,-0.1971848952551749,0.17397226000148536,952,1000
income_elasticity_median_income,vegfruit,,0.22640600460683527,0.43312568941914725,0.6933767308139609,952,1000
