model,group,rmse_x,mae_x,mean_x
AIDADS_sat,grain,0.07147215903024323,0.05030986656599036,0.4122865722827164
AIDADS_sat,oil,0.03136621314893896,0.025140507460731005,0.1273417792799735
AIDADS_sat,vegfruit,0.01086312031074368,0.007996298670550059,0.05164737289379987
AIDADS_sat,meatsea,0.052625582400594687,0.04205179397683212,0.1471792515909876
AIDADS_sat,dairyegg,0.010723365897362655,0.008861132384688776,0.030014386789327437
AIDADS_sat,nonfood,3.7549086768210422,3.0991588468218643,191.69657220163432
MAIDADS_sat,grain,0.06628766638308574,0.04876045971093234,0.4122865722827164
MAIDADS_sat,oil,0.03071349498573307,0.025284466516224242,0.1273417792799735
MAIDADS_sat,vegfruit,0.009369561215028467,0.007431175909365822,0.05164737289379987
MAIDADS_sat,meatsea,0.0440097593432783,0.03534524581119303,0.1471792515909876
MAIDADS_sat,dairyegg,0.008704063794833919,0.007030287657842935,0.030014386789327437
MAIDADS_sat,nonfood,3.4228962996083534,2.730473572364557,191.69657220163432
