model,group,alpha,beta,delta,tau,omega,kappa,nll,success,message
AIDADS_sat,grain,0.09444180649077907,0.0,0.2858892475955288,0.2858892475955288,0.0,2.27254921386009,-3321.3648560752936,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,oil,0.00015347239428923737,0.0,0.12599032645143235,0.12599032645143235,0.0,2.27254921386009,-3321.3648560752936,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,vegfruit,0.00011408034738279764,0.0,0.05180911322789259,0.05180911322789259,0.0,2.27254921386009,-3321.3648560752936,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,meatsea,0.43058887761586323,0.0,0.03646248276636916,0.03646248276636916,0.0,2.27254921386009,-3321.3648560752936,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,dairyegg,0.021580386865977633,0.0,0.022272438760009,0.022272438760009,0.0,2.27254921386009,-3321.3648560752936,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,nonfood,0.45312137628570803,1.0,2.6193594925045733,2.6193594925045733,0.0,2.27254921386009,-3321.3648560752936,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,grain,3.6595984709233598e-06,0.0,0.706499287978715,0.0004982894519637996,0.643563229492739,5.376887577376563,-3552.316960774983,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,oil,4.554575051148843e-06,0.0,0.17881902709271108,0.05212979633408484,0.643563229492739,5.376887577376563,-3552.316960774983,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,vegfruit,3.92173837253226e-06,0.0,0.020288863867477115,0.09367478464662417,0.643563229492739,5.376887577376563,-3552.316960774983,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,meatsea,0.049566693205235185,0.0,0.06905508230056363,0.01010224383615678,0.643563229492739,5.376887577376563,-3552.316960774983,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,dairyegg,0.0036917908319089197,0.0,0.00015995482483259314,0.042494934524316214,0.643563229492739,5.376887577376563,-3552.316960774983,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,nonfood,0.9467293800509614,1.0,21.16214903203878,4.283305962623336,0.643563229492739,5.376887577376563,-3552.316960774983,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
