province,provincechn,year,m,population_10k,income_support_flag,population_share_projected,population_share_source,population_scenario,population_projection_source,p_grain_model,p_oil_model,p_vegfruit_model,p_meatsea_model,p_dairyegg_model,p_nonfood_model,xhat_grain,daily_kcal_grain,annual_kcal_total_grain,xhat_oil,daily_kcal_oil,annual_kcal_total_oil,xhat_vegfruit,daily_kcal_vegfruit,annual_kcal_total_vegfruit,xhat_meatsea,daily_kcal_meatsea,annual_kcal_total_meatsea,xhat_dairyegg,daily_kcal_dairyegg,annual_kcal_total_dairyegg,xhat_nonfood,daily_kcal_nonfood,annual_kcal_total_nonfood,u
11,北京,2030,54228.131731990594,2154.9315,extrapolation,0.014754747483548667,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",832.5932501877371,5516.518798605855,7132.452277843986,5483.905554016172,2860.41924000051,100.0,0.27458920072513665,549.1784014502733,4319562702877.665,0.1013150110187893,202.6300220375786,1593786433270.8242,0.06520131851336775,130.40263702673548,1025681938273.722,0.18709154780796575,374.1830956159315,2943137129212.532,0.04806932084608653,96.13864169217307,756178483826.3214,518.120683729417,,,0.7073190743333391
11,北京,2035,63878.67489683381,2103.8059,extrapolation,0.014473242236419123,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",832.5932501877371,5516.518798605855,7132.452277843986,5483.905554016172,2860.41924000051,100.0,0.25433140050943354,508.66280101886707,3905966476913.1675,0.09767985108209828,195.35970216419656,1500145963228.77,0.06730775250025739,134.6155050005148,1033697861828.203,0.1918494222864085,383.698844572817,2946381809579.4844,0.05020523222536334,100.41046445072668,771041065496.1035,614.5230609746508,,,0.8979022046673628
11,北京,2050,97322.39848973544,1897.8973,extrapolation,0.013607292794890789,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",832.5932501877371,5516.518798605855,7132.452277843986,5483.905554016172,2860.41924000051,100.0,0.2068804586911914,413.7609173823828,2866256407001.248,0.08916500960415646,178.33001920831293,1235350026170.079,0.07224150425931132,144.48300851862265,1000880777936.304,0.2006367452260564,401.2734904521128,2779751940430.8384,0.05487160374498049,109.74320748996098,760226880738.1592,948.857829303983,,,1.374679137746829
12,天津,2030,40901.81361971037,1557.944,in_support,0.010667193046976083,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",788.9353543842642,5585.000022553961,7826.720397252748,5267.561058746732,2693.757093916584,100.0,0.31154952519203033,623.0990503840607,3543250008373.1396,0.10794651081417711,215.89302162835423,1227674717560.341,0.06135758687399034,122.71517374798067,697819295571.1277,0.18257015966823512,365.1403193364702,2076368819289.4329,0.0451844238813815,90.368847762763,513882055180.02167,384.894959166775,,,0.3717054702479152
12,天津,2035,49459.36841816847,1533.6281,extrapolation,0.010550674371565937,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",788.9353543842642,5585.000022553961,7826.720397252748,5267.561058746732,2693.757093916584,100.0,0.28636287650988346,572.7257530197669,3205971325750.4263,0.10342684390632371,206.85368781264742,1157913692996.078,0.06397664250200055,127.9532850040011,716249549798.4731,0.1900975800396046,380.19516007920924,2128234630582.3782,0.04809772334003917,96.19544668007835,538477346440.2625,470.2416620891192,,,0.5990299910485049
12,天津,2050,80426.81470357899,1416.549,extrapolation,0.010156185480273222,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",788.9353543842642,5585.000022553961,7826.720397252748,5267.561058746732,2693.757093916584,100.0,0.22751445322169703,455.0289064433941,2352683209736.2144,0.09286668126838432,185.73336253676865,960316492733.5542,0.07009566587015159,140.19133174030318,724845801366.6908,0.20403687374823876,408.0737474964775,2109906075139.7153,0.054373112124273384,108.74622424854677,562261896527.6497,779.587962657879,,,1.1610480600095072
13,河北,2030,28390.108699119868,7883.5584,in_support,0.05397847377692003,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.589835104942,5347.057800474389,7429.319917177694,3827.972470621542,2685.440176787608,100.0,0.36098715803380227,721.9743160676045,20774802396669.418,0.11681812204029939,233.63624408059877,6722880157166.1,0.05621695173774356,112.43390347548713,3235284241289.7246,0.21116185346195354,422.3237069239071,12152359666422.734,0.03903328422361259,78.06656844722518,2246364582760.7344,261.5758834450528,,,-0.06538055317348013
13,河北,2035,35507.09634962889,7854.45,in_support,0.05403509776440982,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.589835104942,5347.057800474389,7429.319917177694,3827.972470621542,2685.440176787608,100.0,0.32962632639840367,659.2526527968073,18899944545473.57,0.11119053293710318,222.38106587420637,6375385514423.159,0.05947828771510818,118.95657543021636,3410335429690.6997,0.22759111235586926,455.1822247117385,13049501990837.97,0.04293661908062402,85.87323816124804,2461877752485.9937,332.3113686346984,,,0.21110517156916542
13,河北,2050,62800.7052452148,7674.2785,extrapolation,0.055022025975291336,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.589835104942,5347.057800474389,7429.319917177694,3827.972470621542,2685.440176787608,100.0,0.25564881554540736,511.2976310908147,14322017523441.273,0.09791553506978708,195.83107013957417,5485446924895.061,0.0671709690199044,134.34193803980878,3763067680627.414,0.259635724079064,519.271448158128,14545373042462.82,0.0514316187920509,102.86323758410181,2881314134107.035,604.4988222984135,,,0.8853797600217432
14,山西,2030,25270.209470351678,3896.4992,in_support,0.02667920616773637,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",771.1569964145249,5312.108589960856,7544.868227238039,3431.1773635116697,2795.350994619254,100.0,0.37722859015883015,754.4571803176603,10730057568328.371,0.11973270749003545,239.4654149800709,3405730312325.9272,0.054527737233829296,109.0554744676586,1551011176918.8103,0.22021212971787402,440.424259435748,6263811627114.744,0.03624130923614679,72.48261847229358,1030863896852.8696,230.7497521320909,,,-0.20870570951346545
