Food group,2024,BS 2035,BS 2050,PTS (A1) 2035,PTS (A1) 2050,PTS (A2) 2035,PTS (A2) 2050,PTS (A3) 2035,PTS (A3) 2050
Rice,111.13,103.10,96.59,100.30,90.50,98.97,88.47,101.74,92.67
Wheat,64.62,59.84,55.77,58.54,52.94,57.76,51.75,59.38,54.21
Edible oils,22.18,23.02,24.26,23.53,25.55,23.29,25.00,23.78,26.13
Fruits,116.31,121.02,125.14,123.71,131.82,124.53,133.29,122.81,130.24
Vegetables,144.97,147.87,151.41,148.68,153.39,148.66,153.23,148.71,153.57
Pork,31.56,34.46,38.24,36.01,42.42,35.82,41.89,36.21,42.99
Beef,6.78,7.84,9.15,8.06,9.76,8.09,9.75,8.03,9.78
Mutton,3.52,4.09,4.88,4.20,5.20,4.21,5.20,4.20,5.21
Poultry,17.00,19.64,23.33,20.30,25.22,20.33,25.23,20.26,25.21
Eggs,16.95,17.55,18.75,18.14,20.27,18.15,20.27,18.12,20.27
Dairy products,35.49,40.52,47.32,43.99,57.47,43.70,56.42,44.31,58.58
Aquatic products,22.75,25.29,28.74,26.14,31.06,26.42,31.58,25.84,30.51
