Food group,2024,BS 2050,PTS (A1) 2050,PTS (A2) 2050,PTS (A3) 2050
Rice,156.5,121.1,113.5,111.0,115.2
Wheat,91.0,69.9,66.4,64.9,67.4
Edible oils,31.2,30.4,32.0,31.4,32.5
Fruits,163.8,157.0,165.3,167.2,161.9
Vegetables,204.2,189.9,192.4,192.2,190.9
Pork,44.4,48.0,53.2,52.5,53.4
Beef,9.5,11.5,12.2,12.2,12.2
Mutton,5.0,6.1,6.5,6.5,6.5
Poultry,23.9,29.3,31.6,31.6,31.3
Eggs,23.9,23.5,25.4,25.4,25.2
Dairy products,50.0,59.3,72.1,70.8,72.8
Aquatic products,32.0,36.0,39.0,39.6,37.9
