Food group,2024,BS 2035,BS 2050,PTS(A1) 2035,PTS(A1) 2050,HDS(B1) 2035,HDS(B1) 2050,MTS(C1) 2035,MTS(C1) 2050
Rice,111.13,103.10,96.59,100.30,90.50,87.31,65.20,93.60,76.86
Wheat,64.62,59.84,55.77,58.54,52.94,50.68,37.65,54.48,44.67
Edible oils,22.18,23.02,24.26,23.53,25.55,17.92,13.42,20.55,18.56
Fruits,116.31,121.02,125.14,123.71,131.82,115.54,112.17,119.56,121.61
Vegetables,144.97,147.87,151.41,148.68,153.39,152.82,163.68,150.74,158.45
Pork,31.56,34.46,38.24,36.01,42.42,20.32,10.97,27.15,21.76
Beef,6.78,7.84,9.15,8.06,9.76,4.51,2.48,6.05,4.96
Mutton,3.52,4.09,4.88,4.20,5.20,2.35,1.32,3.16,2.64
Poultry,17.00,19.64,23.33,20.30,25.22,22.64,32.64,21.44,28.70
Eggs,16.95,17.55,18.75,18.14,20.27,14.86,12.66,16.43,16.04
Dairy products,35.49,40.52,47.32,43.99,57.47,56.09,102.05,49.71,76.70
Aquatic products,22.75,25.29,28.74,26.14,31.06,34.64,60.43,30.12,43.42
