Scenario,2023,2024,2035,2050
BS,660.86,656.42,659.45,654.02
PTS (A1),654.35,647.84,641.89,632.59
HDS (B1),654.35,647.84,522.57,451.25
MTS (C1),654.35,647.84,573.48,502.22
