Indicator,2024,BS 2035,BS 2050,MTS (C1) 2035,MTS (C2) 2035,MTS (C3) 2035,MTS (C1) 2050,MTS (C2) 2050,MTS (C3) 2050
Energy intake,2991.54,3003.13,3070.27,2745.48,2722.90,2770.04,2571.50,2532.94,2612.70
Protein intake,94.18,97.13,102.45,94.88,94.48,95.32,98.77,98.04,99.55
Fat intake,118.56,125.48,135.27,110.83,110.05,111.68,104.74,103.15,106.45
Carbohydrate intake,382.26,365.91,353.95,335.33,331.98,338.98,300.10,295.07,305.47
Protein share of energy,13,13,13,14,14,14,15,15,15
Fat share of energy,36,38,40,36,36,36,37,37,37
Carbohydrate share of energy,52,49,47,50,50,50,48,48,48
