Indicator,Unit,2024,BS 2050,PTS (A1) 2050,HDS (B1) 2050,MTS (C1) 2050
Energy intake,kcal/person/day,2991.54,3070.27,3127.59,2257.70,2571.50
Protein intake,g/person/day,94.18,102.45,105.79,98.09,98.77
Fat intake,g/person/day,118.56,135.27,144.77,82.72,104.74
Carbohydrate intake,g/person/day,382.26,353.95,344.36,271.43,300.10
Protein share of energy,%,13,13,14,17,15
Fat share of energy,%,36,40,42,33,37
Carbohydrate share of energy,%,52,47,45,50,48
