Indicator,2024,BS 2035,BS 2050,HDS (B1) 2035,HDS (B2) 2035,HDS (B3) 2035,HDS (B1) 2050,HDS (B2) 2050,HDS (B3) 2050
Energy intake,2991.54,3003.13,3070.27,2546.20,2525.58,2568.62,2257.70,2226.12,2291.44
Protein intake,94.18,97.13,102.45,91.55,91.19,91.94,98.09,97.54,98.67
Fat intake,118.56,125.48,135.27,97.24,96.56,97.97,82.72,81.54,83.97
Carbohydrate intake,382.26,365.91,353.95,319.19,316.04,322.61,271.43,267.03,276.14
Protein share of energy,13,13,13,14,14,14,17,18,17
Fat share of energy,36,38,40,34,34,34,33,33,33
Carbohydrate share of energy,52,49,47,51,51,51,50,50,50
