Food group,2024,BS 2050,MTS (C1) 2050,MTS (C2) 2050,MTS (C3) 2050
Rice,156.5,121.1,96.4,94.2,97.8
Wheat,91.0,69.9,56.0,54.8,56.8
Edible oils,31.2,30.4,23.3,22.8,23.6
Fruits,163.8,157.0,152.5,154.2,149.4
Vegetables,204.2,189.9,198.7,198.5,197.2
Pork,44.4,48.0,27.3,27.0,27.4
Beef,9.5,11.5,6.2,6.2,6.2
Mutton,5.0,6.1,3.3,3.3,3.3
Poultry,23.9,29.3,36.0,36.0,35.7
Eggs,23.9,23.5,20.1,20.1,19.9
Dairy products,50.0,59.3,96.2,94.5,97.2
Aquatic products,32.0,36.0,54.5,55.4,53.0
