Food group,2024,BS 2035,BS 2050,MTS (C1) 2035,MTS (C1) 2050,MTS (C2) 2035,MTS (C2) 2050,MTS (C3) 2035,MTS (C3) 2050
Rice,111.13,103.10,96.59,93.60,76.86,92.36,75.13,94.94,78.70
Wheat,64.62,59.84,55.77,54.48,44.67,53.76,43.67,55.26,45.74
Edible oils,22.18,23.02,24.26,20.55,18.56,20.34,18.16,20.77,18.98
Fruits,116.31,121.02,125.14,119.56,121.61,120.36,122.97,118.70,120.16
Vegetables,144.97,147.87,151.41,150.74,158.45,150.71,158.28,150.77,158.64
Pork,31.56,34.46,38.24,27.15,21.76,27.01,21.49,27.30,22.05
Beef,6.78,7.84,9.15,6.05,4.96,6.07,4.95,6.03,4.97
Mutton,3.52,4.09,4.88,3.16,2.64,3.16,2.64,3.15,2.65
Poultry,17.00,19.64,23.33,21.44,28.70,21.48,28.71,21.40,28.69
Eggs,16.95,17.55,18.75,16.43,16.04,16.44,16.04,16.41,16.04
Dairy products,35.49,40.52,47.32,49.71,76.70,49.37,75.31,50.07,78.19
Aquatic products,22.75,25.29,28.74,30.12,43.42,30.44,44.14,29.77,42.65
