YEAR,总企业,涉农企业,合作社,county_industry行数
2010,7704567,664244,109215,214524
2011,8220360,690339,117197,215248
2012,8483172,784195,150032,215829
2013,10164586,1156864,242826,218137
2014,11301540,1172895,233777,222668
2015,13222864,1400085,213433,224316
2016,15048864,1532423,262826,225067
2017,17621928,1625809,239977,226300
2018,16077728,1542483,208505,225141
2019,17029097,1505388,137607,225289
2020,17849824,2057552,120394,230904
2021,19001793,2179491,100027,231436
2022,20394382,2879878,94555,230340
2023,13049440,1269108,52139,213176
