policy,status,batch_year,province,county,unit,product,holder,raw
地理标志,登记,2008.0,山西,,,黎城核桃,黎城县核桃产业办公室,果品
地理标志,登记,2008.0,山西,,,交城骏枣,交城县农业技术推广中心,果品
地理标志,登记,2008.0,内蒙古,,,乌海葡萄,乌海市植保植检站,果品
地理标志,登记,2008.0,辽宁,,,彰武黑豆,彰武县农业发展服务中心,粮食
地理标志,登记,2008.0,辽宁,,,黑山锦丰梨,黑山县农业农村事务服务中心,果品
地理标志,登记,2008.0,辽宁,,,岫岩滑子蘑,岫岩满族自治县农业农村发展中心,食用菌
地理标志,登记,2008.0,吉林,,,洮南绿豆,洮南市杂粮杂豆经销协会,粮食
地理标志,登记,2008.0,吉林,,,新开河贡米,集安绿色食品产业协会,粮食
地理标志,登记,2008.0,吉林,,,集安边条参,集安绿色食品产业协会,药材
地理标志,登记,2008.0,黑龙江,,,巴彦大豆,巴彦县质量安全协会,油料
地理标志,登记,2008.0,黑龙江,,,嘉荫木耳,嘉荫县绿色食品协会,食用菌
地理标志,登记,2008.0,黑龙江,,,阿城大米,哈尔滨市阿城金京稻米专业合作社,粮食
地理标志,登记,2008.0,山东,,,章丘大葱,章丘市大葱研究所,蔬菜
地理标志,登记,2008.0,山东,,,威海野生刺参,威海市农业环境保护站,水产动物
地理标志,登记,2008.0,湖北,,,房县香菇,房县经济作物技术推广站,蔬菜
地理标志,登记,2008.0,湖北,,,秭归桃叶橙,秭归县柑桔协会,果品
地理标志,登记,2008.0,湖北,,,麻城福白菊,麻城市福白菊产业协会,茶叶
地理标志,登记,2008.0,湖南,,,江永香柚,江永县桃川洞名特优新产品开发区管理委员会,果品
地理标志,登记,2008.0,重庆,,,武隆高山辣椒,武隆县蔬菜产业发展办公室,蔬菜
地理标志,登记,2008.0,重庆,,,梁平柚,梁平县经济作物站,果品
地理标志,登记,2008.0,陕西,,,米脂小米,米脂县金颗粒小米专业合作社,粮食
地理标志,登记,2008.0,陕西,,,阎良相枣,西安市阎良区林业科技中心,果品
地理标志,登记,2008.0,陕西,,,彬州梨,彬县园艺工作站,果品
地理标志,登记,2008.0,陕西,,,兴平关中黑猪,兴平市畜牧兽医站,肉类产品
地理标志,登记,2008.0,宁夏,,,中宁硒砂瓜,硒砂瓜生产营销协会,果品
地理标志,登记,2008.0,宁夏,,,彭阳辣椒,彭阳县红河辣椒专业合作社,蔬菜
地理标志,登记,2008.0,宁夏,,,西吉马铃薯,西吉县马铃薯产业服务中心,粮食
地理标志,登记,2008.0,宁夏,,,贺兰螺丝菜,贺兰县农牧局乡镇企业培训服务中心,蔬菜
地理标志,登记,2008.0,山西,,,芮城花椒,山西省芮城县花椒产业协会,蔬菜
地理标志,登记,2008.0,山西,,,红山荞麦,朔州市平鲁区红山荞麦协会,粮食
地理标志,登记,2008.0,山西,,,长子大青椒,山西省长子县椒王蔬菜营销合作社,蔬菜
地理标志,登记,2008.0,山西,,,孝义核桃,山西省孝义市农业技术推广中心,果品
地理标志,登记,2008.0,内蒙古,,,天山明绿豆,内蒙古赤峰市阿鲁科尔沁旗农业环保能源工作站,粮食
地理标志,登记,2008.0,内蒙古,,,乌兰察布马铃薯,乌兰察布市农畜产品质量安全中心,粮食
地理标志,登记,2008.0,内蒙古,,,乌珠穆沁羊肉,锡林郭勒盟农牧业科学研究所,肉类产品
地理标志,登记,2008.0,辽宁,,,丹东杜鹃,丹东市花卉协会,花卉
地理标志,登记,2008.0,辽宁,,,小梁山西瓜,新民市梁山镇西瓜协会,果品
地理标志,登记,2008.0,吉林,,,集安五味子,吉林省集安北五味子产业协会,药材
地理标志,登记,2008.0,吉林,,,洮南辣椒,洮南市辣椒产业协会,蔬菜
地理标志,登记,2008.0,黑龙江,,,巴彦猪肉,巴彦县农产品质量安全协会,肉类产品
地理标志,登记,2008.0,黑龙江,,,阿城大蒜,哈尔滨市阿城区金源绿色农畜产品协会,蔬菜
地理标志,登记,2008.0,黑龙江,,,呼兰大葱,哈尔滨市呼兰区兰河街道办事处社区服务中心,蔬菜
地理标志,登记,2008.0,黑龙江,,,嘉荫大豆,嘉荫县绿色食品协会,油料
地理标志,登记,2008.0,山东,,,峄城石榴,峄城区标准化农业产业协会,果品
地理标志,登记,2008.0,山东,,,昌乐西瓜,昌乐县农产品质量检测中心,果品
地理标志,登记,2008.0,山东,,,黄河口蜜桃,垦利县西宋乡黄河口蜜桃协会,果品
地理标志,登记,2008.0,湖北,,,平林镇大米,枣阳市平林镇粮油经销协会,粮食
地理标志,登记,2008.0,湖北,,,鹤峰茶,鹤峰县茶叶产业协会,茶叶
地理标志,登记,2008.0,湖北,,,宜都蜜柑,宜都市柑桔协会,果品
地理标志,登记,2008.0,湖南,,,湘西椪柑,湘西土家族苗族自治州农业特色产业服务中心,果品
地理标志,登记,2008.0,重庆,,,武隆高山白菜,重庆市武隆县蔬菜产业发展办公室,蔬菜
地理标志,登记,2008.0,重庆,,,武隆高山萝卜,重庆市武隆县蔬菜产业发展办公室,蔬菜
地理标志,登记,2008.0,重庆,,,江津花椒,江津区农业技术推广服务中心,蔬菜
地理标志,登记,2008.0,陕西,,,横山大明绿豆,榆林市横山区农业技术推广中心,粮食
地理标志,登记,2008.0,陕西,,,丹凤核桃,丹凤县农业技术服务中心,果品
地理标志,登记,2008.0,陕西,,,蓝田大杏,蓝田县华胥镇娲氏杏果专业协会,果品
地理标志,登记,2008.0,宁夏,,,大武口小公鸡,石嘴山市大武口区农业畜牧技术推广服务中心,肉类产品
地理标志,登记,2008.0,宁夏,,,涝河桥羊肉（清真）,吴忠市畜牧草原技术推广服务中心,肉类产品
地理标志,登记,2008.0,宁夏,,,青铜峡西瓜,青铜峡市农业技术推广服务中心,果品
地理标志,登记,2008.0,宁夏,,,盐池甜瓜,盐池县科技服务中心,果品
地理标志,登记,2008.0,宁夏,,,盐池滩羊肉,盐池县滩羊肉产品质量监督检验站,肉类产品
地理标志,登记,2008.0,宁夏,,,盐池滩鸡,盐池县滩羊肉产品质量监督检验站,肉类产品
地理标志,登记,2008.0,山东,,,东明西瓜,东明县西瓜协会,果品
地理标志,登记,2008.0,山东,,,平阴玫瑰红苹果,平阴玫冠苹果合作社,果品
地理标志,登记,2008.0,山东,,,新村银杏,郯城县新村乡农业服务站,果品
地理标志,登记,2008.0,山东,,,福山大樱桃,福山区果树站,果品
地理标志,登记,2008.0,内蒙古,,,鄂尔多斯细毛羊,内蒙古乌审旗农牧业产业化办公室,肉类产品
地理标志,登记,2008.0,内蒙古,,,阿尔巴斯白绒山羊,内蒙古鄂托克旗阿尔巴斯绒山羊协会,肉类产品
地理标志,登记,2008.0,吉林,,,集安山葡萄,吉林省集安绿色食品产业协会,果品
地理标志,登记,2008.0,黑龙江,,,巴彦玉米,巴彦县农产品质量安全协会,粮食
地理标志,登记,2008.0,山西,,,灵丘荞麦,山西省大同市灵丘农业技术推广中心,粮食
地理标志,登记,2008.0,山西,,,天镇唐杏,天镇县绿宝无公害杏菜专业合作社,果品
地理标志,登记,2008.0,山西,,,应县胡萝卜,应县南河种镇绿色蔬菜开发中心,蔬菜
地理标志,登记,2008.0,山西,,,交城梨枣,山西省交城县农业技术推广中心,果品
地理标志,登记,2008.0,湖北,,,房县黑木耳,房县经济作物技术推广站,食用菌
地理标志,登记,2008.0,湖北,,,走马葛仙米,湖北省鹤峰县优质农产品协会,粮食
地理标志,登记,2008.0,湖南,,,崀山脐橙,新宁县农业技术推广中心,果品
地理标志,登记,2008.0,湖南,,,江永香芋,湖南省江永县桃川洞名特优新产品开发区管理委员会,蔬菜
地理标志,登记,2008.0,湖南,,,华容芥菜,华容县蔬菜加工行业协会,蔬菜
地理标志,登记,2008.0,重庆,,,武隆高山马铃薯,重庆市武隆县蔬菜产业发展办公室,粮食
地理标志,登记,2008.0,陕西,,,宁陕香菇,宁陕县农业科技服务中心,食用菌
地理标志,登记,2008.0,陕西,,,灞桥樱桃,西安市灞桥区园艺技术推广站,果品
地理标志,登记,2008.0,陕西,,,汉中冬韭,汉中市农业技术推广中心,蔬菜
地理标志,登记,2008.0,陕西,,,佳县红枣,佳县红枣产业办公,果品
地理标志,登记,2008.0,陕西,,,白河木瓜,白河县长江防护林工程建设领导小组办公室,果品
地理标志,登记,2008.0,宁夏,,,海原硒砂瓜,兴仁硒砂瓜市场流通协会,果品
地理标志,登记,2008.0,宁夏,,,六盘山蚕豆,隆德县农业技术推广服务中心,粮食
地理标志,登记,2008.0,宁夏,,,马家湖西瓜,吴忠市利通区蔬菜技术推广服务中心,果品
地理标志,登记,2008.0,宁夏,,,朝那乌鸡,彭阳县养鸡专业合作社,肉类产品
地理标志,登记,2008.0,宁夏,,,同心马铃薯,同心县农业技术推广服务中心,粮食
地理标志,登记,2008.0,宁夏,,,青铜峡番茄,青铜峡市农业技术推广服务中心,蔬菜
地理标志,登记,2008.0,宁夏,,,张亮香瓜,贺兰县农牧局乡镇企业培训服务中心,果品
地理标志,登记,2008.0,宁夏,,,盐池荞麦,盐池县科技服务中心,粮食
地理标志,登记,2008.0,宁夏,,,原州马铃薯,固原市原州区农业技术推广服务中心,粮食
地理标志,登记,2008.0,宁夏,,,原州油用亚麻,固原市原州区农业技术推广服务中心,油料
地理标志,登记,2008.0,山东,,,蒙阴蜜桃,蒙阴县果业协会,果品
地理标志,登记,2008.0,山东,,,黄河口大闸蟹,东营市黄河口大闸蟹协会,水产动物
地理标志,登记,2008.0,山东,,,苍山辣椒,苍山县平阳蔬菜产销专业合作社,蔬菜
地理标志,登记,2008.0,山东,,,滕州马铃薯,滕州市种子管理站,粮食
地理标志,登记,2008.0,内蒙古,,,敖汉旗荞麦,敖汉旗农产品质量安全中心,粮食
地理标志,登记,2008.0,内蒙古,,,苏尼特羊肉,锡林郭勒盟农牧业科学研究所,肉类产品
地理标志,登记,2008.0,吉林,,,万昌大米,永吉县粮食行业协会,粮食
地理标志,登记,2008.0,黑龙江,,,克山马铃薯,克山县绿色食品协会,粮食
地理标志,登记,2008.0,黑龙江,,,呼兰韭菜,哈尔滨市呼兰区蒲井蔬菜专业合作社,蔬菜
地理标志,登记,2008.0,黑龙江,,,嘉荫水稻,嘉荫县绿色食品协会,粮食
地理标志,登记,2008.0,山西,,,孝义柿子,山西省孝义市农业技术推广中心,果品
地理标志,登记,2008.0,山西,,,应县青椒,应县南河种镇绿色蔬菜开发中心,蔬菜
地理标志,登记,2008.0,湖北,,,四井岗油桃,枣阳市平林镇油桃协会,果品
地理标志,登记,2008.0,湖北,,,沼山胡柚,鄂州市梁子湖区胡柚产业合作社,果品
地理标志,登记,2008.0,湖南,,,江永香姜,湖南省江永县桃川洞名特优新产品开发区管理委员会,蔬菜
地理标志,登记,2008.0,重庆,,,武隆高山甘蓝,重庆市武隆县蔬菜产业发展办公室,蔬菜
地理标志,登记,2008.0,重庆,,,梁平肉鸭,重庆市梁平县畜牧技术推广站,肉类产品
地理标志,登记,2008.0,陕西,,,城固蜜桔,城固县果业技术指导站,果品
地理标志,登记,2008.0,陕西,,,靖边马铃薯,靖边县农业技术推广服务中心,粮食
地理标志,登记,2008.0,陕西,,,汉中白猪,汉中市动物疾病预防控制中心,肉类产品
地理标志,登记,2008.0,宁夏,,,宁夏大米,宁夏优质稻米产业化协会,粮食
地理标志,登记,2008.0,宁夏,,,青铜峡辣椒,青铜峡市农业技术推广服务中心,蔬菜
地理标志,登记,2008.0,宁夏,,,吴忠牛乳,吴忠市乳业协会,奶制品
地理标志,登记,2008.0,宁夏,,,盐池西瓜,盐池县科技服务中心,果品
地理标志,登记,2008.0,宁夏,,,同心滩羊肉（清真）,同心县养羊协会,肉类产品
地理标志,登记,2008.0,宁夏,,,涝河桥牛肉（清真）,吴忠市畜牧草原技术推广服务中心,肉类产品
地理标志,登记,2009.0,江苏,,,金山翠芽,镇江市茶业协会,茶叶
地理标志,登记,2009.0,江苏,,,兴化大青虾,兴化市大青虾行业协会,水产动物
地理标志,登记,2009.0,黑龙江,,,伊春红松籽,伊春市绿色食品协会,果品
地理标志,登记,2009.0,内蒙古,,,扎兰屯大米,扎兰屯绿色产业发展中心,粮食
地理标志,登记,2009.0,内蒙古,,,扎兰屯葵花,扎兰屯绿色产业发展中心,油料
地理标志,登记,2009.0,福建,,,青山龙眼,福州市长乐区农业科学技术推广中心,果品
地理标志,登记,2009.0,福建,,,永安黄椒,永安市农学会,蔬菜
地理标志,登记,2009.0,山东,,,柘山花生,安丘市柘山镇山货协会,油料
地理标志,登记,2009.0,山东,,,沂源黑山羊,沂源县畜牧兽医协会,肉类产品
地理标志,登记,2009.0,山东,,,泗水地瓜,泗水县利丰地瓜产销协会,蔬菜
地理标志,登记,2009.0,山东,,,马山栝楼,长清区马山栝楼协会,药材
地理标志,登记,2009.0,河南,,,开封西瓜,开封市农业技术推广站,果品
地理标志,登记,2009.0,四川,,,凉山马铃薯,凉山州马铃薯产业协会,粮食
地理标志,登记,2009.0,四川,,,南部脆香甜柚,南部县果树技术推广站,果品
地理标志,登记,2009.0,四川,,,崇庆枇杷茶,崇州市崇庆枇杷茶专业合作社,茶叶
地理标志,登记,2009.0,四川,,,万源马铃薯,万源市农业技术推广站,粮食
地理标志,登记,2009.0,黑龙江,,,拜泉芸豆,拜泉县兴国乡芸豆协会,粮食
地理标志,登记,2009.0,黑龙江,,,富锦大豆,富锦市绿色食品协会,粮食
