list_id,list_name,policy_year,sequence,province_hint,county_original,matched_name,match_method,province_standard,prefecture_standard,county_name_standard,county_code_standard,area_id,source_pdf,source_page,source_context
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,22,吉林省,农安县,农安县,exact_province,吉林省,长春市,农安县,220122,20404859,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,23,吉林省,公主岭市,公主岭市,exact_province,吉林省,四平市,公主岭市,220381,20404747,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,24,吉林省,前郭尔罗斯蒙古族自治县,前郭尔罗斯蒙古族自治县,exact_province,吉林省,松原市,前郭尔罗斯蒙古族自治县,220721,20404775,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,25,吉林省,梨树县,梨树县,exact_province,吉林省,四平市,梨树县,220322,20404745,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,26,吉林省,扶余市,扶余市,exact_province,吉林省,松原市,扶余市,220781,20404778,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,27,吉林省,长岭县,长岭县,exact_province,吉林省,松原市,长岭县,220722,20404776,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,28,吉林省,德惠市,德惠市,exact_province,吉林省,长春市,德惠市,220183,20404862,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,29,吉林省,九台区,九台区,exact_province,吉林省,长春市,九台区,220113,20404860,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,30,吉林省,洮南市,洮南市,exact_province,吉林省,白城市,洮南市,220881,20404784,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,31,吉林省,双辽市,双辽市,exact_province,吉林省,四平市,双辽市,220382,20404748,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,32,吉林省,镇赉县,镇赉县,exact_province,吉林省,白城市,镇赉县,220821,20404782,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,33,吉林省,乾安县,乾安县,exact_province,吉林省,松原市,乾安县,220723,20404777,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,34,吉林省,伊通满族自治县,伊通满族自治县,exact_province,吉林省,四平市,伊通满族自治县,220323,20404746,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,35,吉林省,洮北区,洮北区,exact_province,吉林省,白城市,洮北区,220802,20404781,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
grain_capacity_720_2024,720个粮食产能提升重点县名单,2024,36,吉林省,舒兰市,舒兰市,exact_province,吉林省,吉林市,舒兰市,220283,20404739,/root/data/数据/县域统计数据/720个大县名单.pdf,1,吉林省(30个):榆树市、农安县、公主岭市、前郭尔罗斯蒙古族自治县、梨树县、扶余市、长岭县、德惠市、长春市九台区、洮南市、双辽市、镇赉县、乾安县、伊通满族自治县、白城市洮北区、舒兰市、通榆县、大安市、东丰县、磐石市、桦甸市、梅河口市、东辽县、敦化市、蛟河市、长春市双阳区、柳河县、辉南县、松原市宁江区、永吉县
