list_id,list_name,policy_year,sequence,province_hint,county_original,matched_name,match_method,province_standard,prefecture_standard,county_name_standard,county_code_standard,area_id,source_pdf,source_page,source_context
grain_county_800_2009,800个产粮大县名单,2009,1,河北省,正定县,正定县,exact_province,河北省,石家庄市,正定县,130123,20404713,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,2,河北省,栾城县,栾城县,exact_province,河北省,石家庄市,栾城区,130111,20404714,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,3,河北省,行唐县,行唐县,exact_province,河北省,石家庄市,行唐县,130125,20404715,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,4,河北省,深泽县,深泽县,exact_province,河北省,石家庄市,深泽县,130128,20404507,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,5,河北省,无极县,无极县,exact_province,河北省,石家庄市,无极县,130130,20404509,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,6,河北省,元氏县,元氏县,exact_province,河北省,石家庄市,元氏县,130132,20404611,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,7,河北省,赵县,赵县,exact_province,河北省,石家庄市,赵县,130133,20404612,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,8,河北省,辛集市,辛集市,exact_province,河北省,石家庄市,辛集市,130181,20404613,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,9,河北省,藁城市,藁城市,exact_province,河北省,石家庄市,藁城区,130109,20404614,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,10,河北省,晋州市,晋州市,exact_province,河北省,石家庄市,晋州市,130183,20404615,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,11,河北省,新乐市,新乐市,exact_province,河北省,石家庄市,新乐市,130184,20404616,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,12,河北省,鹿泉市,鹿泉市,exact_province,河北省,石家庄市,鹿泉区,130110,20404617,/root/data/数据/县域统计数据/800产粮大县.pdf,1,石家庄市 12 正定县、栾城县、行唐县、深泽县、无极县、元氏县、赵县、辛集市、藁城市、晋州市、新乐市、鹿泉市
grain_county_800_2009,800个产粮大县名单,2009,13,河北省,丰南区,丰南区,exact_province,河北省,唐山市,丰南区,130207,20404624,/root/data/数据/县域统计数据/800产粮大县.pdf,1,唐山市 7 丰南区、丰润区、滦县、滦南县、乐亭县、玉田县、唐海县
