group,cap_jin_pc_month,review_floor_jin_pc_month,cap_kg_pc_day,flagged,max_observed
1,90,45,1.5,200,285858.2083333333
2,30,15,.5,37,909.4285888671875
3,60,30,1,84,2101.7833984375
4,21,10.5,.34999999,135,1317.857177734375
5,150,75,2.5,36,832.6129150390625
6,120,60,2,24,2144.234619140625
