group,food,n,consuming,zero,participation,self_participation,purchase_participation,gift_participation
1,staples,3103,3102,1,.999677731227844,.75507575,.9845311,.16113439
2,beans,3103,2905,198,.9361907831131163,.26973897,.90041894,.044150822
3,meat,3103,3076,27,.9912987431517886,.40025783,.95262647,.15211086
4,oil,3103,3045,58,.9813084112149533,.31969061,.71060264,.059297454
5,vegetables,3103,3101,2,.9993554624556881,.83113116,.92394459,.17982598
6,fruit,3103,3008,95,.9693844666451821,.25878182,.935224,.16854657
