evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,hicksian,3,4,.3707140378562764,.06543757,.030409705,2.1518648,.031408008,.0058356463,.1250395
sample_average,hicksian,3,5,.3707140378562764,.038013894,.054000393,.70395589,.48146024,-.06782493,.14385273
sample_average,hicksian,3,6,.3707140378562764,.010446778,.061088756,.17100984,.86421603,-.10928499,.13017854
sample_average,hicksian,4,1,.071615690050697,-.13265125,.13481303,-.98396462,.32513291,-.39687994,.13157743
sample_average,hicksian,4,2,.071615690050697,-.0082814461,.079020679,-.10480099,.91653371,-.16315913,.14659624
sample_average,hicksian,4,3,.071615690050697,.3387334,.15737692,2.1523702,.031368203,.030280313,.64718652
sample_average,hicksian,4,4,.071615690050697,-.22284473,.11719925,-1.9014179,.057247307,-.45255104,.0068615666
sample_average,hicksian,4,5,.071615690050697,-.03500665,.116649,-.30010244,.764099,-.2636345,.19362119
sample_average,hicksian,4,6,.071615690050697,.060050674,.13178821,.45566046,.64863414,-.19824946,.31835079
sample_average,hicksian,5,1,.1211644008405395,.091702446,.10211258,.89805233,.36915764,-.10843454,.29183945
sample_average,hicksian,5,2,.1211644008405395,.0062927646,.058185603,.10814985,.91387683,-.10774893,.12033445
sample_average,hicksian,5,3,.1211644008405395,.11630713,.16440226,.70745456,.47928405,-.20591539,.43852967
sample_average,hicksian,5,4,.1211644008405395,-.020691106,.068964534,-.30002531,.76415783,-.15585911,.1144769
sample_average,hicksian,5,5,.1211644008405395,-.313306,.10112531,-3.0981956,.0019470297,-.51150799,-.11510402
sample_average,hicksian,5,6,.1211644008405395,.11969475,.091416679,1.3093317,.19042201,-.059478641,.29886815
sample_average,hicksian,6,1,.2042894990130237,-.0395253,.081894375,-.48263755,.62935311,-.20003533,.12098473
sample_average,hicksian,6,2,.2042894990130237,.0039187684,.036310896,.10792266,.91405702,-.067249283,.075086817
sample_average,hicksian,6,3,.2042894990130237,.018957252,.11074869,.17117359,.86408728,-.1981062,.23602071
sample_average,hicksian,6,4,.2042894990130237,.021051355,.046155334,.45609799,.64831954,-.069411434,.11151414
sample_average,hicksian,6,5,.2042894990130237,.070991136,.054492582,1.3027669,.19265434,-.035812363,.17779464
sample_average,hicksian,6,6,.2042894990130237,-.075393207,.11712299,-.64370972,.51976365,-.30495003,.15416363
