evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,hicksian,3,3,.3569243317435393,-.14196157,.078703687,-1.8037475,.071270883,-.29621798,.012294807
sample_average,hicksian,3,4,.3569243317435393,.0066571482,.02254908,.29522926,.76781875,-.037538238,.050852533
sample_average,hicksian,3,5,.3569243317435393,.017098086,.035466176,.48209554,.62973809,-.052414343,.086610511
sample_average,hicksian,3,6,.3569243317435393,-.01922819,.039226733,-.49018079,.62400597,-.096111171,.057654791
sample_average,hicksian,4,1,.0708472432994562,-.082885176,.098549932,-.84104753,.4003213,-.27603951,.11026914
sample_average,hicksian,4,2,.0708472432994562,.13603297,.059951726,2.269042,.023265777,.018529754,.25353619
sample_average,hicksian,4,3,.0708472432994562,.03353833,.11370622,.29495597,.76802748,-.18932176,.25639841
sample_average,hicksian,4,4,.0708472432994562,-.12171183,.087697171,-1.3878649,.16517818,-.29359514,.050171472
sample_average,hicksian,4,5,.0708472432994562,.12647758,.09029837,1.400663,.16131487,-.050503965,.30345914
sample_average,hicksian,4,6,.0708472432994562,-.091451883,.075079948,-1.21806,.22320116,-.23860587,.055702105
sample_average,hicksian,5,1,.1204239045243262,.0039568082,.074685551,.05297957,.95774817,-.14242418,.1503378
sample_average,hicksian,5,2,.1204239045243262,-.00062451133,.038370524,-.01627581,.98701435,-.075829357,.074580334
sample_average,hicksian,5,3,.1204239045243262,.050677005,.10542389,.48069754,.63073146,-.15595002,.25730404
sample_average,hicksian,5,4,.1204239045243262,.074408717,.053215176,1.3982613,.16203463,-.029891109,.17870854
sample_average,hicksian,5,5,.1204239045243262,-.26436594,.074898668,-3.5296481,.00041611274,-.41116461,-.11756724
sample_average,hicksian,5,6,.1204239045243262,.13594791,.068493932,1.9848168,.047164857,.0017022676,.27019355
sample_average,hicksian,6,1,.2175302038185045,.058321029,.05040291,1.1570965,.24723294,-.040466856,.15710892
sample_average,hicksian,6,2,.2175302038185045,.024146451,.024135936,1.0004356,.31709972,-.023159115,.071452014
sample_average,hicksian,6,3,.2175302038185045,-.031549685,.064830959,-.48664531,.62650973,-.15861604,.095516659
sample_average,hicksian,6,4,.2175302038185045,-.029784892,.024523957,-1.2145222,.22454834,-.07785096,.01828118
sample_average,hicksian,6,5,.2175302038185045,.075260252,.038550787,1.9522365,.050910134,-.00029790096,.15081841
sample_average,hicksian,6,6,.2175302038185045,-.096393161,.068471365,-1.4077879,.15919387,-.23059456,.037808247
