group,source,villages,share
1,1,24,.631578947368421
1,3,11,.2894736842105263
1,4,3,.0789473684210526
2,1,19,.5135135135135135
2,3,12,.3243243243243243
2,4,3,.0810810810810811
2,5,3,.0810810810810811
3,1,16,.3809523809523809
3,3,8,.1904761904761905
3,4,8,.1904761904761905
3,5,1,.0238095238095238
3,6,9,.2142857142857143
4,1,21,.5675675675675675
4,3,16,.4324324324324325
5,1,21,.5675675675675675
5,3,13,.3513513513513514
5,4,3,.0810810810810811
6,1,15,.3333333333333333
6,3,13,.2888888888888889
6,4,2,.0444444444444444
6,5,6,.1333333333333333
6,6,9,.2
