sample,variable,n,mean,sd,p1,p50,p95,p99,min,max
physical,qs4_pc,3175,.4464002941363115,1.5749134,0,0,2.8571427,8.5714283,0,17.142857
physical,qs5_pc,3175,9.018126462024284,17.661381,0,1.0563381,47.142857,87.321426,0,128.57143
physical,qs6_pc,3175,1.301647068151703,6.37183,0,0,6.4285712,32.464287,0,100
physical,qg1_pc,3175,.446805012913664,2.8969164,0,0,1.3927578,10.714286,0,66.1157
physical,qg2_pc,3175,.0283482927081748,.40473786,0,0,0,.42492917,0,12.857142
physical,qg3_pc,3175,.3340573179711832,1.9703591,0,0,1.0714285,8.5714283,0,42.857143
physical,qg4_pc,3175,.0599186601187848,.47761977,0,0,.0433526,2.1428571,0,13.846154
physical,qg5_pc,3175,.4231411446387496,2.4799795,0,0,1.243094,11.571428,0,49.285713
physical,qg6_pc,3175,.5063348918389048,3.1648147,0,0,1.4285713,13.432836,0,64.285713
physical,p1,3175,2.855651377952756,.69234425,1.955,2.7,4.3325,5,1.5,5.875
physical,p2,3175,4.434397637795276,1.8771217,2,4,8,11.25,1.48,13.9
physical,p3,3175,13.48318939632546,4.0687332,9,12.75,22.200001,27.4,8,30
physical,p4,3175,8.490051706036745,2.6570313,4.5900002,7.96,15.5,18,4,21.700001
physical,p5,3175,2.219942125984252,.96213001,.98000002,2,4.29,5.4899998,.68000001,7.9000001
physical,p6,3175,5.776019375328084,1.9552495,2.5,5.5,8.5,12,2,12
physical,s1,3175,.2000505270513023,.15221937,.011866747,.1610027,.50857002,.75942165,0,.95613086
physical,s2,3175,.0384116306814583,.064886965,0,.018517105,.13738845,.32965222,0,.90254372
physical,s3,3175,.3495826660908482,.20957714,.0035983385,.32865822,.72337615,.87898314,0,.97074974
physical,s4,3175,.0732778364409293,.099022195,0,.040763866,.2690407,.53309554,0,.85419005
physical,s5,3175,.1231247539727415,.10704865,.0040719206,.094551921,.32659969,.53999466,0,.86160284
physical,s6,3175,.2155525857627205,.17639168,0,.16987321,.57696497,.73752087,0,.93898749
physical,food_exp,3175,687.703720095902,864.17444,18.389544,262.69547,2428.1438,3769.1877,2.6779323,8039.5059
physical,food_exp_pc,3175,246.4902382674999,290.32101,7.1993189,107.39993,852.63965,1259.7834,1.9167725,1895.0026
physical,food_to_total_exp,3174,.4506174287138918,.6583783,.0065999557,.17873761,1.722977,3.074923,.00052859343,11.07516
physical,income_annual,3141,48535.71497739567,113891.45,360,26100,149125,318558,14,2728000
physical,hhsize,3175,2.960314960629921,1.4218787,1,3,6,7,1,10
main,qt1_pc,3103,14.34271483221742,17.848434,.30612245,5.3315167,53.052422,74.432564,0,88.821426
main,qt2_pc,3103,1.515737373723124,2.6561139,0,.44192636,6.9698277,13.107142,0,24.771427
main,qt3_pc,3103,6.145893588221777,8.7937374,.01734104,2.3857143,24.407143,43.482143,0,59.328571
main,qt4_pc,3103,1.701944463949964,2.7782755,0,.41899443,7.3392859,14.285714,0,20.357143
main,qt5_pc,3103,13.58187679314138,19.945623,.16574585,3.7330883,56.088596,92.257141,0,138.24611
main,qt6_pc,3103,8.752051734326793,14.042886,0,2.832,38.577858,66.547707,0,116.42857
main,qb1_pc,3103,8.988134545231986,13.396019,0,2.7823131,38.086735,62.625,0,87
main,qb2_pc,3103,1.261048952123909,2.3363581,0,.3125,5.5714288,11.588571,0,24.771427
main,qb3_pc,3103,4.525655833825059,6.8811026,0,1.7993125,17.642357,33.234852,0,58.448978
main,qb4_pc,3103,1.236528311134292,2.4857526,0,.16853933,6.4285712,12.857142,0,20.357143
main,qb5_pc,3103,4.70213150364843,9.1328993,0,1.2857143,20.804348,45,0,134.71428
main,qb6_pc,3103,7.019344109393952,11.754749,0,2.1831956,31.23,54.211868,0,98.150246
main,qs1_pc,3103,4.925711094194427,9.7275686,0,.82644624,26.785715,45,0,82.64463
main,qs2_pc,3103,.2313909049775134,1.1251651,0,0,1.0714285,5.1428571,0,21.428572
main,qs3_pc,3103,1.293817090025039,4.0165992,0,0,8.5714283,21.428572,0,47.142857
main,qs4_pc,3103,.4069071275839735,1.4359881,0,0,2.6785715,7.8571429,0,17.142857
main,qs5_pc,3103,8.472097584867198,16.651047,0,1.01983,45,79.285713,0,124.28571
main,qs6_pc,3103,1.235204937820911,6.1853509,0,0,5.7142854,32.142857,0,100
main,qg1_pc,3103,.4288691903602196,2.7934854,0,0,1.3432835,10.714286,0,66.1157
main,qg2_pc,3103,.0232975145813436,.327277,0,0,0,.41322315,0,10.714286
main,qg3_pc,3103,.326420652968507,1.9687274,0,0,.99264705,8.5714283,0,42.857143
main,qg4_pc,3103,.0585090229173892,.47374612,0,0,.043103449,2,0,13.846154
main,qg5_pc,3103,.4076477004349587,2.448534,0,0,1.1174785,10.714286,0,49.285713
