elasticity_type,demand_good,shock_good,elasticity,se,z,p_value,ci_low,ci_high,reps_requested,reps_successful,reps_failed,clusters,ci_method
expenditure,1,0,0.54893839,0.18565857,2.9567090701213097,0.003109413506734605,0.18504758475555422,0.9128291952444458,199,125,74,360,two-step village-cluster bootstrap normal
expenditure,2,0,0.5226112,0.44554198,1.1729785877503998,0.240804392439793,-0.35065107664947504,1.3958734766494751,199,125,74,360,two-step village-cluster bootstrap normal
expenditure,3,0,1.2911541,0.11993065,10.765839499088907,4.9904632306229935e-27,1.056090031265354,1.5262181687346459,199,125,74,360,two-step village-cluster bootstrap normal
expenditure,4,0,0.82672024,0.22539614,3.6678544487442752,0.0002445943473043792,0.38494380283664703,1.268496677163353,199,125,74,360,two-step village-cluster bootstrap normal
expenditure,5,0,0.53594196,0.15885486,3.373783904548945,0.0007414254678899546,0.22458644010921486,0.8472974798907853,199,125,74,360,two-step village-cluster bootstrap normal
expenditure,6,0,1.3234026,0.14899915,8.881947040837254,6.570011541160109e-19,1.0313642570472719,1.6154409429527283,199,125,74,360,two-step village-cluster bootstrap normal
marshallian,1,1,-0.34959,0.09437212,-3.7043778089264743,0.0002119102247042201,-0.5345593620204926,-0.16462063797950746,199,125,74,360,two-step village-cluster bootstrap normal
marshallian,2,2,-0.31340438,0.7277966,-0.4306208271625215,0.666744094929044,-1.739885743773346,1.113076983773346,199,125,74,360,two-step village-cluster bootstrap normal
marshallian,3,3,-0.60248625,0.095564656,-6.304488243589371,2.8914766901746426e-10,-0.7897929756808281,-0.41517952431917193,199,125,74,360,two-step village-cluster bootstrap normal
marshallian,4,4,-0.18314491,0.10322649,-1.7742045615851862,0.07602931996240123,-0.38546883102479934,0.019179011024799353,199,125,74,360,two-step village-cluster bootstrap normal
marshallian,5,5,-0.33831874,0.07613351,-4.443755861091759,8.840191367808022e-06,-0.48754042344259263,-0.18909705655740738,199,125,74,360,two-step village-cluster bootstrap normal
marshallian,6,6,-0.39989832,0.09904879,-4.037387095919887,5.40498430164295e-05,-0.5940339548991393,-0.20576268510086057,199,125,74,360,two-step village-cluster bootstrap normal
hicksian,1,1,-0.24111474,0.08742099,-2.7580874222307155,0.005814064666520608,-0.41245988540433887,-0.06976959459566115,199,125,74,360,two-step village-cluster bootstrap normal
hicksian,2,2,-0.29424351,0.72753006,-0.40444172040228643,0.6858879260333065,-1.7202024319093323,1.1317154119093322,199,125,74,360,two-step village-cluster bootstrap normal
hicksian,3,3,-0.14200547,0.08275338,-1.7160080409836453,0.08616057071122622,-0.30420209994146347,0.020191159941463477,199,125,74,360,two-step village-cluster bootstrap normal
hicksian,4,4,-0.12460228,0.09585465,-1.2999085939481088,0.19363229928542003,-0.3124773890168953,0.06327282901689531,199,125,74,360,two-step village-cluster bootstrap normal
hicksian,5,5,-0.27411914,0.074768156,-3.666255199403253,0.0002461283095159356,-0.42066472539390565,-0.12757355460609435,199,125,74,360,two-step village-cluster bootstrap normal
hicksian,6,6,-0.11075747,0.09129619,-1.2131664177808927,0.22506620072261746,-0.28969799952527997,0.06818305952528,199,125,74,360,two-step village-cluster bootstrap normal
