model,order,gmm_steps,return_code,N,parameters,converged,J,J_df,J_p,rss,aic,bic,Engel_order_p,precommitment_p,raw_bic_minimum,family_test_preferred,bic_preferred,easi_order_preferred
aids,1,1,0,3069,106,1,96.609802,19,,340.06448,-58243.391,-57433.707,,,1,1,1,0
easi,1,1,0,3069,106,1,.22697413,19,,341.63376,-58172.742,-57363.059,,,0,1,0,1
easi,2,1,430,3069,111,0,.27293673,24,,,,,,,0,0,0,0
easi,3,1,0,3069,116,1,.87910175,29,,1419976.4,69708.109,70594.18,.0063117859,,0,0,0,0
quaids,2,1,0,3069,111,1,461.71634,24,,917.17688,-43008.617,-42160.742,.40486589,,0,0,0,0
