evaluation,elasticity_type,demand_good,shock_good,reference_share,elasticity,std_error,z_value,p_value,ci_low,ci_high
sample_average,hicksian,2,4,.038066939193326,.26863575,.14864364,1.8072468,.070723809,-.022700442,.55997193
sample_average,hicksian,2,5,.038066939193326,-.047429878,.12686655,-.37385646,.70851111,-.29608375,.20122398
sample_average,hicksian,2,6,.038066939193326,.081818625,.1267191,.64566922,.51849359,-.16654626,.33018351
sample_average,hicksian,3,1,.3561559352171628,.13357763,.047235161,2.8279278,.0046850373,.04099841,.22615683
sample_average,hicksian,3,2,.3561559352171628,.010151623,.039035242,.26006302,.79481518,-.066356041,.08665929
sample_average,hicksian,3,3,.3561559352171628,-.17067863,.086566426,-1.9716492,.048649669,-.34034571,-.0010115459
sample_average,hicksian,3,4,.3561559352171628,-.014451797,.025110746,-.57552242,.56493801,-.063667953,.034764361
sample_average,hicksian,3,5,.3561559352171628,.023009095,.037861731,.60771376,.54337734,-.051198531,.097216725
sample_average,hicksian,3,6,.3561559352171628,.01839208,.041904651,.43890309,.66073173,-.063739523,.10052368
sample_average,hicksian,4,1,.0741020402582493,-.0055424427,.095936321,-.0577721,.95393014,-.19357418,.18248929
sample_average,hicksian,4,2,.0741020402582493,.1380008,.058721419,2.3500931,.018768717,.022908933,.25309268
sample_average,hicksian,4,3,.0741020402582493,-.069459535,.1204427,-.57670188,.56414086,-.30552289,.16660383
sample_average,hicksian,4,4,.0741020402582493,-.10488255,.093140103,-1.126073,.26013461,-.2874338,.077668689
sample_average,hicksian,4,5,.0741020402582493,.16945662,.086406112,1.9611647,.049859807,.00010375524,.33880949
sample_average,hicksian,4,6,.0741020402582493,-.12757289,.082905464,-1.5387754,.12385912,-.2900646,.03491883
sample_average,hicksian,5,1,.1215262176159773,.0024629775,.076780222,.032078281,.97440964,-.14802349,.15294945
sample_average,hicksian,5,2,.1215262176159773,-.014856961,.040011585,-.37131649,.71040183,-.093278222,.063564301
sample_average,hicksian,5,3,.1215262176159773,.067432575,.11141144,.60525715,.54500812,-.15092984,.285795
sample_average,hicksian,5,4,.1215262176159773,.10332817,.052854802,1.9549439,.050589696,-.00026533788,.20692168
sample_average,hicksian,5,5,.1215262176159773,-.2368805,.075028196,-3.1572196,.0015928135,-.38393307,-.089827932
sample_average,hicksian,5,6,.1215262176159773,.078513734,.066111997,1.1875869,.23499621,-.051063392,.20809086
sample_average,hicksian,6,1,.211262535294482,-.0061175409,.051409543,-.11899621,.90527838,-.10687839,.09464331
sample_average,hicksian,6,2,.211262535294482,.014742721,.02169965,.67939901,.49688509,-.027787812,.057273254
sample_average,hicksian,6,3,.211262535294482,.0310062,.069859229,.44383827,.65715951,-.10591538,.16792777
sample_average,hicksian,6,4,.211262535294482,-.044747222,.029450025,-1.519429,.12865455,-.10246821,.012973767
sample_average,hicksian,6,5,.211262535294482,.045164075,.038422968,1.1754447,.23981684,-.030143559,.12047171
sample_average,hicksian,6,6,.211262535294482,-.040048234,.070577875,-.5674333,.57041985,-.17837833,.098281853
