group,source,threshold,flagged,positive_n,min_flagged,median_flagged,max_flagged
1,total,4.5,13,3544,45.27542495727539,1586.7949,285858.22
1,total,5,10,3544,45.27542495727539,1599.1118,285858.22
1,total,6,4,3544,100.338981628418,167.72168,285858.22
1,total,99,34,3544,206.7626953125,1665.5869,285858.22
2,total,4.5,51,3319,15.11898040771484,24.642857,909.42859
2,total,5,46,3319,15.11898040771484,24.107141,909.42859
2,total,6,31,3319,15.11898040771484,27.428572,909.42859
2,total,99,32,3319,25.71428489685059,52.583035,909.42859
3,total,4.5,9,3514,46.29401652018229,326.86603,2101.7834
3,total,5,7,3514,46.29401652018229,469.28571,2101.7834
3,total,6,4,3514,167.8685506184896,1186.5376,2101.7834
3,total,99,34,3514,92.76190185546875,250.02014,2101.7834
4,total,4.5,122,3480,10.7142858505249,21.428572,1317.8572
4,total,5,112,3480,10.7142858505249,21.428572,1317.8572
4,total,6,96,3480,10.7142858505249,25.714285,1317.8572
4,total,99,33,3480,43.28571319580078,130.21979,1317.8572
5,total,4.5,3,3543,87.6029052734375,646.21716,691.40729
5,total,5,3,3543,87.6029052734375,646.21716,691.40729
5,total,6,3,3543,87.6029052734375,646.21716,691.40729
5,total,99,34,3543,152.6157073974609,206.5,832.61292
6,total,4.5,5,3429,78.008544921875,267.85715,1000.4611
6,total,5,4,3429,78.008544921875,276.82343,1000.4611
6,total,6,1,3429,1000.461059570313,1000.4611,1000.4611
6,total,99,34,3429,96.5508524576823,142.14287,2144.2346
1,purchase,4.5,3,3489,151.7542419433594,181.87451,2785.0159
1,purchase,5,3,3489,151.7542419433594,181.87451,2785.0159
1,purchase,6,2,3489,151.7542419433594,166.81438,181.87451
1,purchase,99,34,3489,128.5714263916016,206.52213,2785.0159
2,purchase,4.5,24,3185,15.12968254089355,21.964285,857.14288
2,purchase,5,22,3185,15.12968254089355,21.428572,857.14288
2,purchase,6,21,3185,15.12968254089355,21.428572,857.14288
2,purchase,99,31,3185,17.16360664367676,22.857143,857.14288
