food_group10,purchase_rate_28d,own_price_intensive_28d,n_purchasers
G01_主食,0.569504732395347,-1.07679664971581,359882
G02_食用油,0.316251556761051,-1.07508993754288,199846
G03_蔬菜,0.820634224847726,-0.666417343621206,518576
G04_水果,0.819963254900534,-0.908431693251571,518152
G05_猪肉,0.606596394169524,-0.602304414265476,383321
G06_禽类及其他肉类,0.415206964161659,-1.01472959890923,262378
G07_牛羊肉,0.328838573176077,-1.14325234610343,207800
G08_海鲜,0.517167494038021,-0.874953613578296,326809
G09_乳制品,0.68905606871745,-1.13342307431951,435429
