q_rel,coef,se,t,event
-5,-0.13639838521976294,0.12198283553932902,-1.118176869857941,sorghum_US_antidumping_2018
-4,0.061642289283672574,0.05032622289689298,1.2248542754731195,sorghum_US_antidumping_2018
-3,-0.04373593377013306,0.10582377513015563,-0.413290243296849,sorghum_US_antidumping_2018
-2,-0.020544607024241685,0.09956642861423802,-0.20634070449428374,sorghum_US_antidumping_2018
0,0.10081564601299717,0.14790279197813117,0.6816345023960313,sorghum_US_antidumping_2018
1,0.21988568600843517,0.04862150030764838,4.522396154317068,sorghum_US_antidumping_2018
2,0.20870551384571692,0.10722611653487164,1.9464056014547777,sorghum_US_antidumping_2018
3,0.10570252438689909,0.07379568183583976,1.4323673385393587,sorghum_US_antidumping_2018
4,0.20727130954078038,0.10880865077366214,1.9049157219303723,sorghum_US_antidumping_2018
5,0.09145309621560914,0.10690597658074594,0.8554535409583461,sorghum_US_antidumping_2018
6,-0.07987869958653265,0.14055966676231288,-0.5682903312627223,sorghum_US_antidumping_2018
7,0.15835197109379603,0.1087376659530984,1.4562752446985359,sorghum_US_antidumping_2018
8,0.11870967409794277,0.04601185890051368,2.5799799646133725,sorghum_US_antidumping_2018
9,0.21554661126784186,0.11528087568263123,1.869751682501464,sorghum_US_antidumping_2018
10,0.13013217913642014,0.10914465560989595,1.1922908951358795,sorghum_US_antidumping_2018
-6,0.06232039248585355,0.05052381084320768,1.2334855872066859,barley_australia_ADCVD_2020
-5,0.07740048591146158,0.050900057864662014,1.5206365013820113,barley_australia_ADCVD_2020
-4,0.0844201069534443,0.033797200771941954,2.4978431652697375,barley_australia_ADCVD_2020
-3,-0.012591579645087838,0.020669717836799467,-0.6091800451513826,barley_australia_ADCVD_2020
-2,0.010727954417262382,0.015077498709023217,0.7115208314255849,barley_australia_ADCVD_2020
0,-0.005411153110826006,0.006290508424401877,-0.8602091827482954,barley_australia_ADCVD_2020
1,-0.03102886730216293,0.028880058685578767,-1.0744045792973809,barley_australia_ADCVD_2020
2,-0.031434640319517024,0.04410135642086419,-0.7127817117354107,barley_australia_ADCVD_2020
3,0.046404452445141936,0.0455770917817479,1.018152993774942,barley_australia_ADCVD_2020
4,0.05698424685668844,0.03589017453784409,1.5877394743957536,barley_australia_ADCVD_2020
5,0.1116712635317982,0.04958640326606796,2.2520541151694093,barley_australia_ADCVD_2020
6,0.13442217037952367,0.05078430719273546,2.6469233865762445,barley_australia_ADCVD_2020
7,0.15854887992641664,0.05056513639464973,3.13553747168756,barley_australia_ADCVD_2020
8,0.24855731874130665,0.06219984028040131,3.996108633411156,barley_australia_ADCVD_2020
9,0.26034099489916196,0.060223157613571124,4.322938305056506,barley_australia_ADCVD_2020
10,0.3630276809526113,0.05629755244118424,6.44837413370461,barley_australia_ADCVD_2020
