product,include_qty,n_obs,r_squared,coef_log_qty,se_log_qty,coef_n_sources,coef_log_hhi
corn,False,391,0.5062479872698558,,,-0.08495926394789548,-1.0471868879084334
barley,False,426,0.8475381869556182,,,0.011995071917645081,0.15332475930995232
sorghum,False,367,0.5624448610917352,,,0.00374018395020783,0.4736394834882194
cassava,False,271,0.9417490807968543,,,-0.005389100871499435,-0.03802354729732109
oats,False,290,0.44794321597236975,,,-0.13105745514317585,1.9186392430563461
corn,True,391,0.8294458038162172,-0.2823118918063117,0.023938015847059187,0.02435797203163105,-0.16777274856222057
barley,True,426,0.8663861091828013,-0.027707455034085844,0.010624857008209324,0.020314272556939607,0.22244369394551805
sorghum,True,367,0.7994897127747426,-0.18447710117770103,0.05412800072113902,0.09666220162734551,-0.5507386366715429
cassava,True,271,0.942646240878141,-0.004010718138622126,0.003561823792499151,-0.0031927822675758537,-0.03440183391582243
oats,True,290,0.9160150376031352,-0.3084461934304085,0.025217811391205814,0.04380326409475029,-0.9290327827403684
