scenario,pgdp_multiplier_vs_2023,pgdp_real_2023_yuan_per_person,pgdp_index_2023_100,model_m_real_2023_yuan_per_person,m_support_flag,u
0.5x_2023_pgdp,0.5,38638.55263989589,50.0,14449.447478653716,in_support,0.2899772534314118
0.75x_2023_pgdp,0.75,57957.828959843835,75.0,19160.544023797545,in_support,0.6858484594701673
1x_2023_pgdp,1.0,77277.10527979178,100.0,23407.93613216194,in_support,0.9484490275303297
1.25x_2023_pgdp,1.25,96596.38159973972,125.0,27340.779048202316,in_support,1.145173047120601
1.5x_2023_pgdp,1.5,115915.65791968767,150.0,31039.857505217115,in_support,1.3021452409965586
2x_2023_pgdp,2.0,154554.21055958356,200.0,37920.58310719742,in_support,1.5437902146165787
2.5x_2023_pgdp,2.5,193192.76319947944,250.0,44291.742691845844,in_support,1.7267006147467803
3x_2023_pgdp,3.0,231831.31583937534,300.0,50284.20658346352,extrapolation,1.8735449616712914
