scenario,pgdp_multiplier_vs_2023,pgdp_real_2023_yuan_per_person,group,group_label_cn,item,item_label_cn,item_kcal_share_within_group_2023,kcal_per_cap_day,kg_per_cap_year,protein_g_per_cap_day,fat_g_per_cap_day,carb_g_per_cap_day
0.5x_2023_pgdp,0.5,38638.55263989589,grain,主粮,grain,主粮,1.0,976.7318509363406,158.80579113623543,29.624881599068363,6.546039529581926,199.82949219345747
0.5x_2023_pgdp,0.5,38638.55263989589,oil,食用油,oil,食用油,1.0,279.0327406163849,11.327655469356078,0.0,31.00363784626499,0.0
0.5x_2023_pgdp,0.5,38638.55263989589,vegfruit,蔬菜水果,vegetable,蔬菜,0.5715044829741485,49.03337115824782,82.61635264164914,3.012893890446553,0.3741502216894411,10.554974675028445
0.5x_2023_pgdp,0.5,38638.55263989589,vegfruit,蔬菜水果,fruit,水果,0.42849551702585165,36.76363064841309,44.22783515712188,0.5663586343133908,0.14904174587194496,9.439310571889848
0.5x_2023_pgdp,0.5,38638.55263989589,meatsea,肉类水产,pork,猪肉,0.7594886091488202,248.79451701039216,24.695285761742056,8.305735014003986,23.28122693319299,1.5101336389098154
0.5x_2023_pgdp,0.5,38638.55263989589,meatsea,肉类水产,beef,牛肉,0.026626450892129068,8.722336200450002,2.5644424412902955,1.3841665900235647,0.29213566221602877,0.13911222010287083
0.5x_2023_pgdp,0.5,38638.55263989589,meatsea,肉类水产,mutton,羊肉,0.023440476922264718,7.678669652338858,1.395280763825382,0.7190474292480941,0.5336088817051646,0.0
0.5x_2023_pgdp,0.5,38638.55263989589,meatsea,肉类水产,poultry,禽肉,0.11132795446680879,36.46899285608285,10.08957961985162,4.2146800127089765,2.0527457056717298,0.2838903635503455
0.5x_2023_pgdp,0.5,38638.55263989589,meatsea,肉类水产,aquatic,水产品,0.07911650856997735,25.917114885075353,12.471650537972975,4.197308361875617,0.8344046743487674,0.4045598421084932
0.5x_2023_pgdp,0.5,38638.55263989589,dairyegg,奶类蛋类,egg,蛋类,0.7378382978879777,40.145497123771385,10.85543949666372,3.7182110845832828,2.4601697401754055,0.7827812809649017
0.5x_2023_pgdp,0.5,38638.55263989589,dairyegg,奶类蛋类,milk,奶类,0.2621617021120224,14.264117067692661,9.570593253139378,0.7866241029977571,0.8390657098642742,0.8915073167307913
0.75x_2023_pgdp,0.75,57957.828959843835,grain,主粮,grain,主粮,1.0,798.7243707897122,129.86374456966402,24.225804546306126,5.353036556980958,163.41095589791476
0.75x_2023_pgdp,0.75,57957.828959843835,oil,食用油,oil,食用油,1.0,246.19835169053906,9.994705635307168,0.0,27.355372410059896,0.0
0.75x_2023_pgdp,0.75,57957.828959843835,vegfruit,蔬菜水果,vegetable,蔬菜,0.5715044829741485,61.05650173911284,102.87413162893499,3.7516645646924762,0.4658929851578891,13.143086318138346
0.75x_2023_pgdp,0.75,57957.828959843835,vegfruit,蔬菜水果,fruit,水果,0.42849551702585165,45.77818382865494,55.07263380836867,0.7052314806036031,0.18558723173779032,11.753858010060053
0.75x_2023_pgdp,0.75,57957.828959843835,meatsea,肉类水产,pork,猪肉,0.7594886091488202,254.32360764939278,25.244102009678056,8.49031770604953,23.79861781241156,1.5436941283726417
0.75x_2023_pgdp,0.75,57957.828959843835,meatsea,肉类水产,beef,牛肉,0.026626450892129068,8.916177238490683,2.621433386536094,1.4149276478944544,0.29862794578676927,0.14220378370798537
0.75x_2023_pgdp,0.75,57957.828959843835,meatsea,肉类水产,mutton,羊肉,0.023440476922264718,7.849316742977723,1.4262888177919504,0.7350271962374407,0.5454675508919955,0.0
0.75x_2023_pgdp,0.75,57957.828959843835,meatsea,肉类水产,poultry,禽肉,0.11132795446680879,37.27946235290832,10.313805623293819,4.308345050366051,2.0983649468104084,0.29019940753760964
0.75x_2023_pgdp,0.75,57957.828959843835,meatsea,肉类水产,aquatic,水产品,0.07911650856997735,26.49308448047841,12.748814548944784,4.290587340253088,0.8529480857129634,0.41355058701234587
0.75x_2023_pgdp,0.75,57957.828959843835,dairyegg,奶类蛋类,egg,蛋类,0.7378382978879777,47.384535329448845,12.812892931939214,4.38867910781107,2.9037876803561966,0.923932443749699
0.75x_2023_pgdp,0.75,57957.828959843835,dairyegg,奶类蛋类,milk,奶类,0.2621617021120224,16.83622342634429,11.29636314451409,0.9284682036586924,0.9903660839026053,1.0522639641465181
1x_2023_pgdp,1.0,77277.10527979178,grain,主粮,grain,主粮,1.0,755.3744974793841,122.81553484853872,22.910976056867643,5.062506475444515,154.54200874322822
1x_2023_pgdp,1.0,77277.10527979178,oil,食用油,oil,食用油,1.0,238.02502237877883,9.662899918613533,0.0,26.447224708753204,0.0
