eq,term,est,se,p
大米,Py1,-0.030013899542692,0.0177203399874155,0.103813666909069
大米,Py2,0.0246854390328873,0.00460043112586887,1.89075565799405e-05
大米,Py3,-0.00241716135294988,0.000347832390094686,4.39472416108241e-07
面粉,Py1,0.0528455142446275,0.0141340450171883,0.0010734454282009
面粉,Py2,-0.00598936901574021,0.00472346764217986,0.217483196991717
面粉,Py3,8.33642941696511e-05,0.000382357135122532,0.829330652974052
挂面,Py1,-0.0386145124380185,0.0252100710592857,0.139234194061524
挂面,Py2,-0.0050583774404257,0.0044142711823255,0.263613718914468
挂面,Py3,0.000707613409116427,0.000266732618870239,0.014215891508223
方便面,Py1,-0.150967918299375,0.0277879401087275,1.60440341081899e-05
方便面,Py2,0.00212601064138847,0.00509456916897274,0.680321913329343
方便面,Py3,0.00078025176910616,0.00032063354502393,0.023136682788043
食用油,Py1,-0.0904232730049118,0.027515586009635,0.00323545354328859
食用油,Py2,0.0460005924596548,0.00602249108181325,9.40183718156682e-08
食用油,Py3,-0.00421323192443084,0.000381583718999606,1.14232177126214e-10
黄油,Py1,0.134761440624852,0.0294491259495878,0.000133896123339634
黄油,Py2,-0.0351840103456441,0.00630912786286926,1.12891228930162e-05
黄油,Py3,0.00235303720178912,0.000410473731431566,7.73012880682092e-06
成人奶粉,Py1,0.139024027396627,0.0561721811703471,0.021127092871763
成人奶粉,Py2,-0.0266838410595462,0.013857133137085,0.0666003044436227
成人奶粉,Py3,0.00193552609283862,0.00101631940851007,0.0694342684849411
奶酪,Py1,0.15029656607007,0.0291615187648718,3.18677319675637e-05
奶酪,Py2,-0.0358978708311024,0.00606761263997258,4.95961541203832e-06
奶酪,Py3,0.00223381131099745,0.000419439822923716,2.0869934385422e-05
常温牛奶,Py1,-0.110642238659392,0.0188144988219434,5.40356505753355e-06
常温牛奶,Py2,0.0316172879556684,0.0046106550929153,5.42213978872213e-07
常温牛奶,Py3,-0.00273284265517754,0.000334175152326255,2.93508850009979e-08
新鲜牛奶,Py1,0.210651546452416,0.0380490549854248,1.24574577501579e-05
新鲜牛奶,Py2,-0.0553178859806739,0.00939323222933155,5.29495161801388e-06
新鲜牛奶,Py3,0.00381051603561617,0.000629873897001815,3.60228663354983e-06
常温酸奶,Py1,-0.0461750698148292,0.0227205843741797,0.0538275231332541
常温酸奶,Py2,0.00734644187450123,0.00416740268597186,0.0912129603983791
常温酸奶,Py3,-0.000669796229930056,0.000301788748262817,0.0365996658862341
新鲜酸奶,Py1,0.151313943176115,0.0116838439645179,4.75562085762363e-12
新鲜酸奶,Py2,-0.0479385333827427,0.00328028281358806,3.94437696746929e-13
新鲜酸奶,Py3,0.00348087816424689,0.000263727769191285,3.23056836545175e-12
坚果,Py1,-0.00398888253621904,0.0259101127777359,0.878991386632409
坚果,Py2,-0.0181407548051185,0.00508345038115649,0.00163073247749156
坚果,Py3,0.00199030997081184,0.000331541471652694,4.02587269271683e-06
