term,est,se,t,p,eq,n
Pp12,0.0146594665745266,0.0232049284433591,0.631739357021026,0.533786584903945,奶酪,584835
Pp13,0.011960274239718,0.0116543370652301,1.02625092896967,0.315446173202493,奶酪,584835
Pz_fsize,0.00144387058576315,0.00207637220933826,0.695381386472759,0.493782911367172,奶酪,584835
Pz_elderly,-0.0159018511593558,0.00962512134019196,-1.65211955229633,0.112098525805458,奶酪,584835
Pz_lock_days,-0.000198808750475314,0.000502319202393154,-0.395781705194919,0.695913530369325,奶酪,584835
Pz_ln_covid,0.00060225153154179,0.000626950896042174,0.960603988835001,0.346741955826392,奶酪,584835
Pz_cny_share,-0.00183428180126794,0.014056652022292,-0.130492082919817,0.897311740222981,奶酪,584835
Pz_hot_days,0.000608186818585954,0.000302232292834255,2.01231580147355,0.0560407660389894,奶酪,584835
phi_8,-0.0096141009840903,0.0278716341014476,-0.344942135401776,0.733272374202495,奶酪,584835
Py1,-0.110642238659392,0.0188144988219434,-5.88069019039454,5.40356505753355e-06,常温牛奶,584835
Py2,0.0316172879556684,0.0046106550929153,6.85743941338213,5.42213978872213e-07,常温牛奶,584835
Py3,-0.00273284265517754,0.000334175152326255,-8.1778750938055,2.93508850009979e-08,常温牛奶,584835
Pp1,-0.0502311253220134,0.0308887228073798,-1.62619625405853,0.117532741715685,常温牛奶,584835
Pp2,-0.0841447854949958,0.0437952542004453,-1.92132200237669,0.0671692655027773,常温牛奶,584835
Pp3,-0.0169193915135736,0.0143686161901704,-1.17752407675474,0.251027912314919,常温牛奶,584835
Pp4,0.00453958139311624,0.020755086149768,0.218721394859977,0.828796279413645,常温牛奶,584835
Pp5,0.0726946483888978,0.0311951216200364,2.33032104424323,0.0289220121096413,常温牛奶,584835
Pp6,0.000379846597744335,0.00796271450561071,0.0477031541789784,0.962364628503576,常温牛奶,584835
Pp7,0.0237815305082427,0.0177082046799819,1.34296677376484,0.192386368847885,常温牛奶,584835
Pp8,0.00300610207922489,0.00801516120346566,0.375051979980776,0.711058108237356,常温牛奶,584835
Pp9,0.0143447637576619,0.0305059747917739,0.470228007974687,0.642620483809649,常温牛奶,584835
Pp10,-0.0021625444134053,0.0137833539327493,-0.156895369875621,0.876696441574914,常温牛奶,584835
