category,chi_EASI,theta_direct,eta_direct,theta_residual,gap_system_vs_account
坚果,0.886011217194266,0.11505928170687,0.260173711376082,0.625837505818184,0.510778224111314
大米,1.0856299371894,0.0438155592805897,0.325369428227472,0.760260508961925,0.716444949681335
奶酪,0.58062618587677,0.0060813467150943,0.1802203788915,0.40040580698527,0.394324460270176
常温牛奶,0.907292439535778,0.0351074831754395,0.479992234178985,0.427300205356793,0.392192722181353
常温酸奶,0.815869655506902,0.0672588109438109,0.415335241746077,0.400534413760825,0.333275602817014
成人奶粉,1.12554421696859,0.120476009321503,0.342631761663665,0.78291245530493,0.662436445983427
挂面,0.520101736380416,0.014960540717796,0.116131238812658,0.403970497567758,0.389009956849962
新鲜牛奶,0.56719672049977,0.00957808900070807,0.196305318163068,0.370891402336702,0.361313313335994
新鲜酸奶,0.45730727763444,0.0113429465676715,0.190780559249508,0.266526718384932,0.25518377181726
方便面,0.386573489801327,-0.00720245070361481,0.173394697727161,0.213178792074166,0.220381242777781
面粉,0.907651395318438,0.00763313311511165,0.194660036178461,0.712991359139977,0.705358226024865
食用油,1.09364223461398,-0.0793117750306211,0.696564471125703,0.397077763488282,0.476389538518903
黄油,0.620931322070683,0.0436005362578453,0.146769318124,0.474162003946683,0.430561467688837
