Category,uv_med,protein,ca_mg
奶酪,138.611111111111,257,7990
常温牛奶,14.125,31.3333333333333,976.666666666667
常温酸奶,19.3055555555556,31.5,1105
新鲜牛奶,16,31.3333333333333,976.666666666667
新鲜酸奶,18.3823529411765,31.5,1105
