category,大米,面粉,挂面,方便面,食用油,黄油,成人奶粉,奶酪,常温牛奶,新鲜牛奶,常温酸奶,新鲜酸奶,坚果,G_fresh_composite
大米,0.617410794885951,1.22365208126312,1.86799229983102,3.13964105107655,0.328134573460325,0.146123995241852,-2.21728713318017,0.0878668498600582,-1.19319033733441,-0.345939947889581,1.49537812969867,1.64459920766886,-0.169713476903029,-7.04867122355969
面粉,6.29622603017618,-2.9840829896704,-4.7612663607663,-0.264257469624024,-2.9311252774459,1.03836762079174,0.341539824476199,-4.75844097608703,-6.04491948562268,4.03981326127894,-8.15315137053607,-3.40228429308088,0.52373822634132,20.0821166266645
挂面,8.10098162299633,-4.59491228600252,-2.29488691291391,0.974977311229288,-4.34731670956409,0.381837442587407,-2.19041623017671,0.417224576983714,-1.9843373379732,1.85889472220248,1.23586398948755,-1.45142200208457,1.74582096034726,1.58004249241956
方便面,7.25766309668176,-0.32747209636916,0.445808297956277,0.965140601095848,-6.41342492678771,-0.149020773189312,-3.00812812333464,-0.812802667086079,-3.01717203255741,-1.06546359025664,3.06214394497583,-4.46723035925922,-0.996567929406924,8.53468354815551
食用油,0.563881379433511,-0.502254396446963,-0.703259100063361,-1.7370479102865,0.660386599872206,-0.205283157551294,-0.00535294762155013,-0.0838686532546818,-0.0111398313305341,-0.173194410886388,-1.13704093566781,-1.13831411806275,-0.225337045369626,3.86455022566752
黄油,0.797468751858498,1.22641211688331,0.454514959536714,-0.371175457019847,-1.47931536636252,2.68905003019804,-0.278416432675374,-0.874865993595209,-1.00106170627187,-0.372607246747087,0.689207352157134,-1.97637055325084,1.14375990884413,-0.731523661067238
成人奶粉,-5.52928737662381,0.366723036653598,-1.36168906506736,-3.41248098733427,0.188437099221503,-0.15336201549803,-2.53401527723784,0.747937673834063,1.72964585374447,0.144866857875939,-1.22880572865737,-0.520900056929463,1.36469158562546,10.3344901999995
奶酪,1.24805508428304,-14.3541456669625,1.19792707143017,-4.52776908142286,-1.50499108917991,-2.20877584029319,3.5518631716022,2.7459777354882,10.6064334672,-0.920592929910913,5.22553563876169,3.39819223749602,0.80474046226514,-5.13612625588194
常温牛奶,-0.682823469695979,-0.82171736366474,-0.272014946171197,-0.815956550802729,0.138327045692726,-0.141309868347305,0.356068144198818,0.487212702486629,0.0734712950980622,-0.0594097429511889,-0.422446604600451,-0.526603057686883,-0.433414491828835,2.87240370053732
新鲜牛奶,-1.28050911946146,4.38535536693491,2.1037877505037,-2.08286476289948,-1.18386691326722,-0.34463831812385,0.282141319662891,-0.307209516493221,-0.570598420966379,3.93355356221525,0.296085084234816,0.0620739268975078,-0.311084480492426,-5.13714314840987
常温酸奶,2.05595689117149,-2.69217403708794,0.404547918680595,1.87118456464249,-2.58487641823445,0.203752805718735,-0.638020597017435,0.561234352197633,-0.593731210936139,0.0931801613058151,3.92789029954068,-0.062394426185021,1.7404534791863,-4.45188789340455
新鲜酸奶,2.99482540583879,-1.20510326281368,-0.552098591592512,-3.12283450875534,-2.69819794976695,-0.659343979151187,-0.358419526333069,0.438846471772971,-1.11368950373535,0.038927725169053,-0.0849497656730006,-2.39736658534859,0.298999435589339,8.38373645267448
坚果,-0.301752413748166,0.366349011694044,0.535116668340719,-0.646933328176519,-0.394276880129407,0.288861523573073,0.720606663519471,0.0513210161810631,-0.665448298406204,-0.0842315342681612,1.66771939427968,0.34876072642001,1.58471589986145,-3.64247700934186
