tercile,margin,est,se
T1,quality (theta),0.0199186832971147,0.00112385411661655
T1,quantity (eta),0.338535561309816,0.0025921667718044
T2,quality (theta),0.0224013993785578,0.00180807138252928
T2,quantity (eta),0.3394412992551,0.00410801886092471
T3,quality (theta),0.0235715456184588,0.00136655971433041
T3,quantity (eta),0.326328142278296,0.00303518370692148
