category,w,psi_own,dlnp,buffer_yuan_m
大米,0.0473103004180699,-1.12903247193098,0.0148269734975117,0.00277530763438727
面粉,0.0113193650423906,-0.753800296658292,0.0796006918124055,0.0127777981562769
挂面,0.0113145751819813,-0.444658001777069,0.0747157786049479,0.00663793486916852
方便面,0.021081525225061,-1.0446464887025,0.0509611182975093,0.0135174025002946
食用油,0.074521110502575,-0.544108214642918,0.169270957059967,0.274582888549696
黄油,0.00940557248516613,-0.518597109481093,0.075973307575507,0.00665397805553471
成人奶粉,0.0175678124070163,-0.847099166931216,0.161540584255339,0.0917823572964091
奶酪,0.0037366442723977,-0.513177225355913,-0.0386866485261583,0.000678289843768545
常温牛奶,0.0767007734478404,-0.879338140134675,0.0751254896177133,0.0899651387355084
新鲜牛奶,0.0102317125177977,-0.593993428327144,0.00512713738600711,3.77592925050136e-05
常温酸奶,0.0342320582696353,-0.50901825542201,-0.117449717219558,0.0568086267418827
新鲜酸奶,0.0288106485693971,-0.453194630322771,0.0434164511409701,0.00581688398891563
坚果,0.0345698147363046,-0.415901851237209,-0.393822573935536,0.527027269850508
