category,eM_own,psiM_own,epsq_own
大米,-0.511621677045029,-1.12903247193098,0.617410794885951
面粉,-3.73788328632869,-0.753800296658292,-2.9840829896704
挂面,-2.73954491469098,-0.444658001777069,-2.29488691291391
方便面,-0.0795058876066516,-1.0446464887025,0.965140601095848
食用油,0.116278385229288,-0.544108214642918,0.660386599872206
黄油,2.17045292071694,-0.518597109481093,2.68905003019804
成人奶粉,-3.38111444416906,-0.847099166931216,-2.53401527723784
奶酪,2.23280051013229,-0.513177225355913,2.7459777354882
常温牛奶,-0.805866845036613,-0.879338140134675,0.0734712950980622
新鲜牛奶,3.33956013388811,-0.593993428327144,3.93355356221525
常温酸奶,3.41887204411867,-0.50901825542201,3.92789029954068
新鲜酸奶,-2.85056121567136,-0.453194630322771,-2.39736658534859
坚果,1.16881404862424,-0.415901851237209,1.58471589986145
