category,theta_boot_mean,ci_lo,ci_hi,boot_se,B
大米,0.051087278359796,0.0458549275106154,0.0568474320340846,0.00300159569615033,200
面粉,0.0138453870416874,0.00719445378690855,0.0201633666540033,0.00340707387659676,200
挂面,0.0184788044166273,0.0132519198436706,0.0235374599939728,0.00249555121786482,200
方便面,-0.00532027134355959,-0.00898218240963406,-0.00199191316616444,0.00185231266713597,200
食用油,-0.0738039106434676,-0.079050957272218,-0.0687730870376827,0.0027601941192403,200
黄油,0.0456659549943944,0.0380138232020708,0.0536486773121758,0.00424540937466811,200
成人奶粉,0.115047717320638,0.105044286626507,0.125490348203343,0.0051575153147322,200
奶酪,0.00701757612486205,-0.00406577931676948,0.0192650818518,0.00586814695281663,200
常温牛奶,0.0299257685052773,0.027092550956717,0.0323864895823818,0.00144581223846914,200
新鲜牛奶,0.010517955233025,0.00475276556360983,0.0152619682793887,0.00277914932169648,200
常温酸奶,0.0613862159073594,0.0570068337730277,0.0665923883424075,0.002655088166216,200
新鲜酸奶,0.0112321899117538,0.00825910030188442,0.014673555764343,0.0017035266472134,200
坚果,0.0969131693794596,0.0900873425014201,0.103528390826344,0.00347620319699522,200
