term,est,se,t,p,outcome,dir,n
relf::out,0.00632233382410624,0.00364987928553408,1.73220354140592,0.0832519112373951,r_dm,up,1074738
relf::-6,-0.00421667747813163,0.00530861261077317,-0.794308755846001,0.427024622283548,r_dm,up,1074738
relf::-5,0.00529364254285659,0.00515531042102374,1.02683293740542,0.30451088301549,r_dm,up,1074738
relf::-4,0.0156385412600915,0.00514643792890052,3.03871172180492,0.00237882125932451,r_dm,up,1074738
relf::-3,0.0071550447028121,0.00486429052227952,1.47093284622709,0.14132415926799,r_dm,up,1074738
relf::-2,0.00688345926751315,0.00480412947815063,1.43282134647274,0.151923683079375,r_dm,up,1074738
relf::0,-0.00441232154534634,0.00478039497960858,-0.923003551833624,0.356015886034633,r_dm,up,1074738
relf::1,0.00120635483020028,0.004843177914887,0.249083319134773,0.803298751565874,r_dm,up,1074738
relf::2,0.000522939182559129,0.00489597035836233,0.106810120217731,0.914940631919984,r_dm,up,1074738
relf::3,0.00226532813406357,0.00485833626891584,0.466276521153421,0.641022385716653,r_dm,up,1074738
relf::4,0.00483700322097869,0.00495546890831661,0.976093950031831,0.329029075712578,r_dm,up,1074738
relf::5,0.00154282643570439,0.00502358925472406,0.307116357941397,0.758757831535397,r_dm,up,1074738
relf::6,0.00563055964210971,0.00505880258561071,1.11302221164457,0.26571154282174,r_dm,up,1074738
relf::out,-0.0132827568416254,0.00791793618994732,-1.67755290305185,0.0934491929694594,lnQ_dm,up,1074738
relf::-6,0.000926637252915598,0.0117686712133911,0.0787376277333008,0.93724206082793,lnQ_dm,up,1074738
relf::-5,-0.0101377657782617,0.0114114915854978,-0.888382180568334,0.374345312730884,lnQ_dm,up,1074738
relf::-4,-0.0221071944208227,0.0112292783494977,-1.96871016398053,0.0489994237385086,lnQ_dm,up,1074738
relf::-3,-0.00553167247717584,0.0108028177262642,-0.512058299727396,0.608615555929231,lnQ_dm,up,1074738
relf::-2,-0.000220049686725716,0.0109655565544788,-0.0200673523165441,0.983989833317866,lnQ_dm,up,1074738
relf::0,0.00205836037017423,0.0105793874424481,0.194563284629826,0.845736717486942,lnQ_dm,up,1074738
relf::1,-0.0126660993189405,0.0105777995427254,-1.19742289195217,0.231155188538036,lnQ_dm,up,1074738
relf::2,-0.00577943363329522,0.010714770066748,-0.539389422012048,0.589623857772068,lnQ_dm,up,1074738
relf::3,-0.0014233437778835,0.0107820029844051,-0.132011072519846,0.894976789822779,lnQ_dm,up,1074738
relf::4,-0.0103373754114496,0.0108736027416963,-0.950685403634393,0.341774965957777,lnQ_dm,up,1074738
relf::5,-0.0156522657018594,0.0109166499695276,-1.43379752447415,0.151644838332161,lnQ_dm,up,1074738
relf::6,-0.0172919821622402,0.0111609016548769,-1.54933559106171,0.121316034059932,lnQ_dm,up,1074738
relf::out,0.00243232462175551,0.004419503458176,0.550361515671122,0.582077703715139,r_dm,down,949197
relf::-6,0.000164054577441247,0.00646776672085804,0.0253649496838196,0.979764126127981,r_dm,down,949197
relf::-5,0.00241477140619737,0.00620368630402405,0.389247825866214,0.697097051491215,r_dm,down,949197
relf::-4,0.0034715431901489,0.00612400627183335,0.566874532136889,0.570805912196055,r_dm,down,949197
relf::-3,0.000791350874200003,0.00593843155599686,0.133259239706294,0.893989728499296,r_dm,down,949197
relf::-2,0.00285233187438115,0.00583079155026981,0.489184332828562,0.62471666800573,r_dm,down,949197
relf::0,-0.00276883383619315,0.00572930819595703,-0.483275422004182,0.628905580944089,r_dm,down,949197
relf::1,0.00130580142163265,0.00578905973008141,0.22556364634612,0.821543167174832,r_dm,down,949197
relf::2,-0.00606288964631003,0.00578541747061535,-1.04796061426924,0.294669660563629,r_dm,down,949197
relf::3,0.0026941204154287,0.00595351988984468,0.452525642859485,0.650895354900579,r_dm,down,949197
relf::4,0.00643285105939883,0.00593233926619339,1.08437005551212,0.278214077506247,r_dm,down,949197
relf::5,0.00353714915488425,0.00608735016855903,0.581065497620544,0.56120298461026,r_dm,down,949197
relf::6,0.0052861636860193,0.0062457181838989,0.846366027152285,0.397358905367128,r_dm,down,949197
relf::out,-0.00234967938575701,0.00953027538153769,-0.246548949709142,0.805259896130347,lnQ_dm,down,949197
relf::-6,-0.00891203979108541,0.0143278175399603,-0.622009581447399,0.533942794414162,lnQ_dm,down,949197
relf::-5,-0.0015427113513271,0.0133181327426909,-0.115835408846916,0.907784172492999,lnQ_dm,down,949197
relf::-4,0.00467829813432538,0.0134267648935693,0.348430777734556,0.727520429543911,lnQ_dm,down,949197
relf::-3,0.00593309312152845,0.0128673435620197,0.461096969466257,0.644734146328906,lnQ_dm,down,949197
relf::-2,-0.0105450316473176,0.012567160478647,-0.839094214260628,0.401426664219549,lnQ_dm,down,949197
relf::0,0.000211033820029745,0.0126795191600308,0.0166436768907594,0.986721049464075,lnQ_dm,down,949197
relf::1,-0.00506905932874794,0.0127926447503652,-0.396247955576442,0.691926425414279,lnQ_dm,down,949197
relf::2,0.00356681859844451,0.0127340617018245,0.280100621621259,0.779403260314783,lnQ_dm,down,949197
relf::3,0.0102808792282395,0.0126704828300429,0.811403903556267,0.417143599771865,lnQ_dm,down,949197
relf::4,-0.000286520368164343,0.0132304201721439,-0.021656180562398,0.982722438601074,lnQ_dm,down,949197
relf::5,0.00458749738920651,0.0133936508650215,0.342512839511674,0.731968651661786,lnQ_dm,down,949197
relf::6,-0.0198221077143272,0.0137128405964924,-1.44551433926808,0.148329437712301,lnQ_dm,down,949197
