category,大米,面粉,挂面,方便面,食用油,黄油,成人奶粉,奶酪,常温牛奶,新鲜牛奶,常温酸奶,新鲜酸奶,坚果,G_fresh_composite
大米,-1.12903247193098,0.0705734885686908,0.069502853662077,-0.0377008123359039,0.0932857473364379,0.0188570497861196,0.0164318799707504,0.00285257124724625,0.0864745869587841,0.0554592170939846,-0.00744069380667156,0.0690732277250676,0.0454495129667645,-0.0154129585512646
面粉,-0.87847407922129,-0.753800296658292,0.201691745315885,-0.045354129411596,1.20865891460319,-0.139697752316502,0.393067330120108,0.0336645079476087,0.31524503908313,-0.0244451675512348,-0.0568688284946178,0.433740676881884,0.180766020491207,-0.798118743003485
挂面,0.027136423611245,0.0377942571898958,-0.444658001777069,0.0153093352079614,0.0954248914202973,0.00938718796327072,-0.0111106010356795,3.19236641583565e-05,0.0839082665020357,0.0432862404303078,0.0234321357089524,0.0545799791727912,-0.0249945354367623,0.138019121459588
方便面,-0.263342561067551,0.167129705328042,0.0871950253571003,-1.0446464887025,0.305790122863286,0.00514775513601827,0.166110536032591,0.0126904430191709,0.135187630095523,0.0154007614452038,-0.056701651715197,0.17694901964424,0.00436920167841526,-0.106009979533795
食用油,-0.296718510282696,0.238515510085135,0.0512030027222551,-0.00566733520877172,-0.544108214642918,0.0191397737895356,0.0822299721109914,0.00924077753049196,0.258716158744663,0.00824254986929623,-0.0709041408333775,0.107442401055976,-0.0106500866971442,-0.107049791289196
黄油,0.0543756860698057,-0.14164051008996,0.0149737624007443,0.0437597650050433,0.0397132438791661,-0.518597109481093,-0.041321880340643,-0.00425479339273888,-0.0401220198170522,-0.0022185664190888,-0.0253392294709567,-0.0678553413273451,0.0147855637811077,0.137733404644498
成人奶粉,-0.399526928016584,0.104135653893309,-0.0630578232835859,-0.0135430680330639,0.135291085876261,-0.0225677865442009,-0.847099166931216,-0.00160461125894074,-0.118369297694819,0.0162308317675919,-0.0166482946244173,-0.0301785380756456,-0.0152741772414462,0.0104161035918153
奶酪,-0.075548899462558,0.0451470878903567,0.0648426270645258,0.00957812129268763,0.0548936478174013,-0.00369533633499664,-0.0334093825897819,-0.513177225355913,-0.201762684281225,0.0214197947453351,0.0331364122489029,0.018150135623078,-0.0193144618415121,-0.107210027568131
常温牛奶,0.00862016649363695,-0.0238538355836964,-0.0127092477982687,0.0128536528745928,0.116100714696988,0.0109394213261175,0.0168184588215745,0.0184527302098159,-0.879338140134675,-0.00888871893216781,0.094509639165169,0.120294850402091,0.0572601844012546,-0.19013910774246
新鲜牛奶,-0.0381142329193089,0.0607085171355694,-0.000824301681470213,-0.0845032534357569,0.0216966104792817,0.00058250210783347,0.00427175944302273,-0.0211203403729559,0.0846930131475798,-0.593993428327144,0.023398560446569,0.097693830459971,-0.0025705107226201,0.0358022234044939
常温酸奶,0.0132044524452439,-0.0215585361635604,0.00833533213468873,-0.0293584193045291,-0.0240466830161346,-0.0231824469575479,0.00429680373775643,0.0119037261966644,-0.134036214435849,-0.000233180302922076,-0.50901825542201,-0.007118572733678,0.0230401436205998,0.0367863051161748
新鲜酸奶,-0.151057875474024,0.0438949921753189,0.00423850804559522,-0.0179707326555319,0.0791839129325034,-0.00647844523662164,0.0341288785462833,0.00470244887097898,0.0665149873224017,0.0189359920844257,0.0146305686565726,-0.453194630322771,-0.000676998729109368,-0.0574907017254094
坚果,0.141135776666803,-0.135424756324035,0.0239634788948028,0.0313371757415172,-0.0989605930022579,0.0238561773095825,-0.0306468156195317,0.032434405880965,-0.167500871355896,-0.0118637179834356,0.0761433274766482,-0.112488622480328,-0.415901851237209,-0.0704257709610939
