term,est,se,t,p,category,model,n
ln_x,0.0422233382053232,0.00458574609431068,9.20751767257846,3.5451528871013e-09,大米,price_psiM,104156
lnp_1,-1.12903247193098,0.195223657964377,-5.78327690252066,6.83583012668083e-06,大米,price_psiM,104156
lnp_2,0.0705734885686908,0.0877120261454019,0.804604472956762,0.429287037466728,大米,price_psiM,104156
lnp_3,0.069502853662077,0.0395673649527506,1.75657018720033,0.0922989928879817,大米,price_psiM,104156
lnp_4,-0.0377008123359039,0.0414364035540371,-0.909847600232447,0.372339594210405,大米,price_psiM,104156
lnp_5,0.0932857473364379,0.18016659869757,0.517774926156144,0.609560102982591,大米,price_psiM,104156
lnp_6,0.0188570497861196,0.022854644136483,0.825086125756733,0.417798466809855,大米,price_psiM,104156
lnp_7,0.0164318799707504,0.0491109942226,0.334586587603407,0.740969000049319,大米,price_psiM,104156
lnp_8,0.00285257124724625,0.0249047260263198,0.114539354668331,0.909804293025022,大米,price_psiM,104156
lnp_9,0.0864745869587841,0.0317935409647606,2.71987908030222,0.0122146104121438,大米,price_psiM,104156
lnp_10,0.0554592170939846,0.0196206655840761,2.82657164999513,0.00956682977910856,大米,price_psiM,104156
lnp_11,-0.00744069380667156,0.0424611734638529,-0.175235237269309,0.862428347719163,大米,price_psiM,104156
lnp_12,0.0690732277250676,0.067134115266048,1.02888415899033,0.314233383349565,大米,price_psiM,104156
lnp_13,0.0454495129667645,0.0190729368035774,2.38293207987979,0.0258227668333736,大米,price_psiM,104156
lnp_14,-0.0154129585512646,0.116064387224744,-0.132796621942434,0.895509222393306,大米,price_psiM,104156
fsize,-0.00226676572440288,0.0153330959203006,-0.14783483623824,0.883761497382016,大米,price_psiM,104156
elderly,0.00670140450540124,0.0601942471934461,0.111329650553897,0.912320791125995,大米,price_psiM,104156
lock_days,0.00136444947923046,0.00112042166340719,1.21779997994789,0.235646489736189,大米,price_psiM,104156
ln_covid,-0.001103948053823,0.00167626442756987,-0.658576317474816,0.516706983595211,大米,price_psiM,104156
cny_share,0.0734833272112168,0.0277070737067544,2.65215042154752,0.014239752955194,大米,price_psiM,104156
hot_days,-0.000105914063658287,0.000267687116224034,-0.395663658200288,0.695999414553561,大米,price_psiM,104156
lam_sel,0.0799373671228268,0.388911764509152,0.205541139193144,0.838957718932466,大米,price_psiM,104156
ln_x,0.010139521822619,0.00438656555249601,2.31149442571295,0.0301115705091005,面粉,price_psiM,52431
lnp_1,-0.87847407922129,0.240229644778557,-3.65680963326181,0.00131362308281028,面粉,price_psiM,52431
lnp_2,-0.753800296658292,0.0840051488235535,-8.97326303464556,5.66495462017507e-09,面粉,price_psiM,52431
lnp_3,0.201691745315885,0.039978978839187,5.04494489784689,4.172777232022e-05,面粉,price_psiM,52431
lnp_4,-0.045354129411596,0.0426149134390005,-1.06427834181844,0.29824899810361,面粉,price_psiM,52431
lnp_5,1.20865891460319,0.279334140436449,4.32692871954249,0.000249261712601012,面粉,price_psiM,52431
lnp_6,-0.139697752316502,0.0605236209889596,-2.30815258627677,0.0303273500565447,面粉,price_psiM,52431
lnp_7,0.393067330120108,0.109260386595519,3.59752827504848,0.00151921903079443,面粉,price_psiM,52431
lnp_8,0.0336645079476087,0.0172544055554418,1.95106738620685,0.0633343908102989,面粉,price_psiM,52431
lnp_9,0.31524503908313,0.147494512344458,2.13733402058314,0.0434279766581167,面粉,price_psiM,52431
lnp_10,-0.0244451675512348,0.0230036067384545,-1.06266673001197,0.298964016558175,面粉,price_psiM,52431
lnp_11,-0.0568688284946178,0.0405106719635612,-1.40379869644647,0.173737594077502,面粉,price_psiM,52431
lnp_12,0.433740676881884,0.106939882601476,4.05592998917223,0.000489554456244608,面粉,price_psiM,52431
lnp_13,0.180766020491207,0.0580239059764338,3.11537145680308,0.00486692781615004,面粉,price_psiM,52431
lnp_14,-0.798118743003485,0.349220984325747,-2.28542607353461,0.0318327174636186,面粉,price_psiM,52431
fsize,-0.0713476871343637,0.0221775849723856,-3.21710804955554,0.0038192105443712,面粉,price_psiM,52431
elderly,-0.326908082082664,0.0992239783276019,-3.29464800336196,0.0031707946050925,面粉,price_psiM,52431
lock_days,-0.0071118643238343,0.00271416405900928,-2.62027798217558,0.0152983915017508,面粉,price_psiM,52431
ln_covid,-0.0189321317093432,0.00705990554891075,-2.68164093388815,0.0133219086721088,面粉,price_psiM,52431
