term,est,se,t,p,category,model,n
I(I(y^1)),-0.261911761877918,0.183649291499152,-1.42615176862323,0.167257634495136,大米,FE_theta,104155
I(I(y^2)),0.04357343109935,0.0302198830391411,1.44187954145664,0.162815386445609,大米,FE_theta,104155
I(I(y^3)),-0.00196897539419945,0.00164673631948631,-1.19568346850677,0.244002581292147,大米,FE_theta,104155
fsize,-0.0102228685553084,0.0189471287604177,-0.539547109463093,0.594694893638218,大米,FE_theta,104155
elderly,-0.0253975260305036,0.0738548130967329,-0.343884507530182,0.734057148652024,大米,FE_theta,104155
lam_sel,-0.138074706074951,0.458300677567692,-0.301275369715239,0.765911476793116,大米,FE_theta,104155
I(I(y^1)),-0.0526579987743912,0.0931146429811466,-0.565517915211823,0.577197333416804,面粉,FE_theta,52424
I(I(y^2)),0.00400418099335639,0.0171025882309442,0.234127194041397,0.816957765907269,面粉,FE_theta,52424
I(I(y^3)),0.000144069128160263,0.00103299663247619,0.139467180851224,0.890295055436798,面粉,FE_theta,52424
fsize,-0.0589888232314159,0.0492329857329054,-1.19815652764667,0.243057324958555,面粉,FE_theta,52424
elderly,-0.270924945057978,0.226130911927402,-1.19808894214762,0.243083121064871,面粉,FE_theta,52424
lam_sel,-1.35058755985421,1.2330303352332,-1.09534009120609,0.284705506130038,面粉,FE_theta,52424
I(I(y^1)),0.113196527149247,0.0550971298016514,2.05449045271055,0.0514616139356762,挂面,FE_theta,110987
I(I(y^2)),-0.0180982478425547,0.0101903711346298,-1.7760145929378,0.0889637538730363,挂面,FE_theta,110987
I(I(y^3)),0.00110801403692834,0.000629518670207632,1.76009718117318,0.0916861852668253,挂面,FE_theta,110987
fsize,-0.00242319820852337,0.0131192375598181,-0.184705719175724,0.855078852559374,挂面,FE_theta,110987
elderly,-0.0252241211138213,0.0498932792409517,-0.505561500417829,0.617975405355536,挂面,FE_theta,110987
lam_sel,-0.151964075624625,0.370193809481183,-0.410498694825824,0.685239203280924,挂面,FE_theta,110987
I(I(y^1)),0.0528220570834576,0.0307497996343741,1.71780166737769,0.0992690273752193,方便面,FE_theta,147508
I(I(y^2)),-0.0129784522389209,0.00626352361591858,-2.07206886008005,0.0496536514157566,方便面,FE_theta,147508
I(I(y^3)),0.000899770627390477,0.000417904180580078,2.15305486090505,0.042037436044837,方便面,FE_theta,147508
fsize,-0.00813854067516896,0.00650224480632843,-1.25165091711834,0.223277726668851,方便面,FE_theta,147508
elderly,0.0760276524921256,0.0536564364991216,1.41693443420101,0.169905834749737,方便面,FE_theta,147508
lam_sel,-0.722463676805519,0.491763216848347,-1.46912915007288,0.155343889429313,方便面,FE_theta,147508
I(I(y^1)),-0.497354969493546,0.12648482685755,-3.93213148051093,0.000665720704498887,食用油,FE_theta,185651
I(I(y^2)),0.0422661405643528,0.0217687749989882,1.94159481028755,0.0645341764472408,食用油,FE_theta,185651
I(I(y^3)),-0.000683529262455129,0.00124872012426053,-0.547383876639215,0.589387769784844,食用油,FE_theta,185651
fsize,-0.0400603788420588,0.0226679073280698,-1.76727292300387,0.0904501684823227,食用油,FE_theta,185651
elderly,-0.142428958636162,0.0939221958768315,-1.51645686417875,0.143028798968419,食用油,FE_theta,185651
lam_sel,-1.00059199045127,0.724676717943741,-1.38074256516813,0.18062925933955,食用油,FE_theta,185651
I(I(y^1)),0.14328664235034,0.0895974305320072,1.59922713742503,0.123418352984854,黄油,FE_theta,50660
I(I(y^2)),-0.0151381649480109,0.017414527815344,-0.869283687076065,0.393673322791948,黄油,FE_theta,50660
I(I(y^3)),0.000749962264474282,0.00110188823600226,0.680615546995227,0.502909576525189,黄油,FE_theta,50660
fsize,-0.000658683071493815,0.00704043164422554,-0.0935572000097547,0.926271136244005,黄油,FE_theta,50660
elderly,-0.0103676915112428,0.030011203923704,-0.34546069986396,0.732887700746991,黄油,FE_theta,50660
lam_sel,0.259820604776415,0.560291544202195,0.463723944194761,0.647204293261856,黄油,FE_theta,50660
I(I(y^1)),-0.181221363802574,0.228680509896828,-0.792465277798856,0.436187699286871,成人奶粉,FE_theta,46480
I(I(y^2)),0.0479750743058958,0.0395567428645387,1.21281659792328,0.237510235410753,成人奶粉,FE_theta,46480
I(I(y^3)),-0.00252031177297269,0.00226367311212495,-1.11337266828549,0.277049357739199,成人奶粉,FE_theta,46480
fsize,0.103811641397932,0.158400155175221,0.655375881943402,0.518727845873494,成人奶粉,FE_theta,46480
elderly,0.392783266503893,0.560022265670169,0.701370803594489,0.490107999963173,成人奶粉,FE_theta,46480
lam_sel,3.84789671351222,5.86631089688981,0.655931262618946,0.518376847892828,成人奶粉,FE_theta,46480
I(I(y^1)),0.0408599465723154,0.116868437815218,0.349623451259949,0.729802352679857,奶酪,FE_theta,17811
I(I(y^2)),-0.00386362947881673,0.0210109155772014,-0.183886773740079,0.855713869753648,奶酪,FE_theta,17811
I(I(y^3)),9.71630003562952e-05,0.00125439166237371,0.077458263850727,0.938928895319502,奶酪,FE_theta,17811
fsize,0.0102387328230909,0.0262074560963078,0.390680147873389,0.699628909006325,奶酪,FE_theta,17811
elderly,-0.0056940525950167,0.0633418502189021,-0.0898940049167923,0.929149692215701,奶酪,FE_theta,17811
lam_sel,0.130710332813173,0.360168303551459,0.362914591662554,0.719982632918248,奶酪,FE_theta,17811
I(I(y^1)),-0.0976145230669743,0.0236280929638915,-4.13129079931034,0.000405865104138931,常温牛奶,FE_theta,225323
I(I(y^2)),0.0206716109163065,0.00450463245585722,4.58896727288548,0.000129660731726335,常温牛奶,FE_theta,225323
I(I(y^3)),-0.00105844050765417,0.000264429632589017,-4.00273031918183,0.000558740594646471,常温牛奶,FE_theta,225323
fsize,0.00259678192373418,0.00772096663894202,0.336328603032276,0.73967230852314,常温牛奶,FE_theta,225323
elderly,0.00247648518989441,0.00682224819989806,0.363001332893666,0.719918706365958,常温牛奶,FE_theta,225323
lam_sel,-0.0096111138725255,0.19076502670266,-0.0503819491373861,0.960253010600853,常温牛奶,FE_theta,225323
I(I(y^1)),0.0241870106301848,0.0323102920462481,0.748585329886966,0.461694392402751,新鲜牛奶,FE_theta,49572
I(I(y^2)),-0.00439064938593381,0.0065886611214906,-0.666394781120642,0.511788491485104,新鲜牛奶,FE_theta,49572
I(I(y^3)),0.000361909453022963,0.000435195340981189,0.831602314967351,0.414184252808177,新鲜牛奶,FE_theta,49572
fsize,0.00264459950013561,0.0049028671115282,0.539398568220893,0.594795711501319,新鲜牛奶,FE_theta,49572
elderly,0.0225051169420489,0.0120275626586809,1.87112863850314,0.0741030992587651,新鲜牛奶,FE_theta,49572
lam_sel,0.0677032259366702,0.1358243968993,0.498461450830996,0.622892272127078,新鲜牛奶,FE_theta,49572
I(I(y^1)),-0.0821446061207607,0.0380618764733463,-2.15818592596937,0.0415923495289666,常温酸奶,FE_theta,125309
I(I(y^2)),0.0280649768357101,0.00766908469028301,3.65949496831994,0.00130498725130255,常温酸奶,FE_theta,125309
I(I(y^3)),-0.0017477886247387,0.000512627138878679,-3.40947345971932,0.00240271097490852,常温酸奶,FE_theta,125309
fsize,-0.0144750066754343,0.0138992638399874,-1.0414225416594,0.308503445479519,常温酸奶,FE_theta,125309
elderly,0.0496568060940454,0.0365408457408705,1.35893970397365,0.187343741329783,常温酸奶,FE_theta,125309
lam_sel,-0.463709581273187,0.485451780823986,-0.955212442492446,0.349403046834802,常温酸奶,FE_theta,125309
I(I(y^1)),0.026227438589945,0.0473001778020706,0.554489217771965,0.584596192423308,新鲜酸奶,FE_theta,161269
I(I(y^2)),-0.00728475441959726,0.00868287646747889,-0.838979392011599,0.41011642719566,新鲜酸奶,FE_theta,161269
I(I(y^3)),0.000694886708239553,0.000527627973940492,1.31700126331423,0.200809824334814,新鲜酸奶,FE_theta,161269
fsize,0.00709815500091954,0.00533911342740556,1.32946323344338,0.196731865330746,新鲜酸奶,FE_theta,161269
elderly,-0.0119683604292096,0.00822845998848868,-1.45450794510187,0.159317627342709,新鲜酸奶,FE_theta,161269
lam_sel,0.015323182315207,0.116868146753838,0.131115130519546,0.896824361258431,新鲜酸奶,FE_theta,161269
I(I(y^1)),-0.141501403354727,0.0531225058095537,-2.66368088625216,0.0138740225438937,坚果,FE_theta,109925
I(I(y^2)),0.0400340337586781,0.0113098120280831,3.53976119667335,0.00174979405158934,坚果,FE_theta,109925
I(I(y^3)),-0.00205466924129495,0.000766260081620034,-2.68142539403977,0.0133284102408787,坚果,FE_theta,109925
fsize,-0.00533720959300269,0.00501506049793364,-1.06423633278238,0.298267620642723,坚果,FE_theta,109925
elderly,-0.0100069270217503,0.0164897949630592,-0.606855758010816,0.549890846760249,坚果,FE_theta,109925
lam_sel,0.157374506045873,0.227420070600202,0.691999196159485,0.495865042585276,坚果,FE_theta,109925
