Category,n_tr,vol_cov,med_uv,p1,p99,mass_2x,unit_flag,n_hhm,uv_hm_med
常温牛奶,373430,1,14,6.33333333333333,32,0.0751037677744156,ok,228143,14.125
新鲜酸奶,316344,1,18.8888888888889,7.375,69.6296296296296,0.0947987001492047,ok,164839,18.3823529411765
坚果,285343,0.73732315143529,59.5238095238095,15,295.836045364891,0.0946908123009649,ok,114144,55.5555555555556
食用油,278411,1,18.8888888888889,7.98,178,0.0621383494186652,ok,188755,18
方便面,243966,1,25.9433962264151,10.5994152046784,102.941176470588,0.0854463326857021,ok,151280,25.7009345794393
大米,221220,0.630774794322394,7,3.33333333333333,29.75,0.0642109789307725,ok,108501,7
常温酸奶,189941,1,19.3,5,48,0.0837259991260444,check,129289,19.3055555555556
挂面,165284,0.99989109653687,8.77777777777778,3.7375,120.739942528736,0.049647235366016,check,115424,8.6875
新鲜牛奶,102460,1,15.8371040723982,7.81893004115226,44.7513789237668,0.0815049775522155,ok,53527,16
面粉,97364,0.72515508812292,5.6,2.98,28.8888888888889,0.1121182935811,check,57211,5.6
黄油,69876,1,43.8235294117647,13.9705769230769,244.444444444444,0.0760633121529567,ok,55993,43.4615384615385
成人奶粉,66664,1,77.6666666666667,19.5018063918481,876.651982378855,0.0583673346933877,ok,51626,75.7480186480187
奶酪,28592,1,139,42.994,300,0.0232932288752099,ok,21960,138.611111111111
