dec,ym,paid_idx,base_idx,quality_wedge
Q1,2020-01,0.0853335685710116,0.0217490682998096,0.063584500271202
Q2,2020-01,0.0709295864323391,0.0217586749632193,0.0491709114691198
Q3,2020-01,0.0926633762451047,0.0227230404700214,0.0699403357750833
Q4,2020-01,0.080535497919641,0.0225433772091767,0.0579921207104643
Q5,2020-01,0.0731716028594321,0.0247854769791736,0.0483861258802585
Q1,2020-02,0.0156050784040136,0.00290109021073914,0.0127039881932745
Q2,2020-02,0.00178034218303144,0.00290687573193713,-0.00112653354890569
Q3,2020-02,0.0120646227119929,0.00264904606895253,0.00941557664304039
Q4,2020-02,0.0220028267775514,0.00219899089889931,0.0198038358786521
Q5,2020-02,0.0198136468474156,0.00198717001809487,0.0178264768293208
Q1,2020-03,0.00176165137278765,-0.00208031863229441,0.00384197000508206
Q2,2020-03,-0.00236319174848822,-0.00195885044205183,-0.000404341306436388
Q3,2020-03,-0.00217019954685315,-0.00184706068210569,-0.000323138864747459
Q4,2020-03,-0.00560984734274029,-0.00140223362019341,-0.00420761372254689
Q5,2020-03,-0.0106829847322074,-0.00103696842444885,-0.00964601630775858
Q1,2020-04,-0.0164556307683414,0.00126105898149577,-0.0177166897498371
Q2,2020-04,-0.00499778190492052,0.00132390619148949,-0.00632168809641001
Q3,2020-04,-0.000904830888384052,0.00118658900388338,-0.00209141989226743
Q4,2020-04,-0.0159191021978576,0.00132532358850697,-0.0172444257863646
Q5,2020-04,-0.0174472796703758,0.00128948568100219,-0.018736765351378
Q1,2020-05,-0.00299124444936175,-0.00439275509496387,0.00140151064560212
Q2,2020-05,-0.0180260340800002,-0.00453438555831303,-0.0134916485216872
Q3,2020-05,-0.011156769307573,-0.00486556674159306,-0.00629120256597993
Q4,2020-05,-0.0111903763410872,-0.00498046860499135,-0.00620990773609581
Q5,2020-05,-0.00952295955952425,-0.00553017422723615,-0.0039927853322881
Q1,2020-06,-0.000318357023013023,0.00161371984312053,-0.00193207686613355
