split,theta_lin,se,n
inc_ter=T1,0.0199186832971147,0.00112385411661655,649699
inc_ter=T2,0.0224013993785578,0.00180807138252928,260602
inc_ter=T3,0.0235715456184588,0.00136655971433041,453122
elderly=1,0.0271152659561865,0.00174027815319506,327670
elderly=0,0.0203096675425362,0.000862177218005014,1054256
